iteration_limit,game_index,seed,winner,deciding_criterion,secured_margin_p1_minus_p2,advantage_margin_p1_minus_p2,corrected_objective_piece_margin_p1_minus_p2,first_persistent_full_lexicographic_lead_turn,first_supply_securing_turn,final_secured_supply_count,final_p1_secured_supply_count,final_p2_secured_supply_count,supply_placements,objective_placements,supply_placement_share,objective_placement_share,sample
30000,11,1151000010,2,advantage_objectives,0,-2,-1,24,4,4,1,3,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
30000,12,1151000011,1,advantage_objectives,0,1,0,21,4,5,3,2,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,13,1151000012,1,secured_objectives,1,-1,-1,23,6,6,2,4,44,28,0.6111111111111112,0.3888888888888889,issue-112-corrected
30000,14,1151000013,0,draw,0,0,0,,5,5,3,2,42,30,0.5833333333333334,0.4166666666666667,issue-112-corrected
30000,15,1151000014,2,advantage_objectives,0,-1,0,24,4,4,1,3,32,40,0.4444444444444444,0.5555555555555556,issue-112-corrected
30000,16,1151000015,1,advantage_objectives,0,1,2,15,13,6,2,4,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,17,1151000016,0,draw,0,0,0,,5,5,2,3,34,38,0.4722222222222222,0.5277777777777778,issue-112-corrected
30000,18,1151000017,2,advantage_objectives,0,-1,-3,20,6,3,0,3,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
30000,19,1151000018,1,advantage_objectives,0,2,2,23,4,3,0,3,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
30000,20,1151000019,2,secured_objectives,-1,3,3,24,6,5,1,4,34,38,0.4722222222222222,0.5277777777777778,issue-112-corrected
30000,21,1151000020,2,secured_objectives,-1,0,0,22,6,5,2,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,22,1151000021,1,secured_objectives,1,0,-1,23,6,3,1,2,36,36,0.5,0.5,issue-112-corrected
30000,23,1151000022,1,secured_objectives,1,1,0,3,3,5,2,3,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
30000,24,1151000023,1,secured_objectives,1,-1,-1,3,5,5,2,3,44,28,0.6111111111111112,0.3888888888888889,issue-112-corrected
30000,25,1151000024,2,secured_objectives,-1,2,3,24,4,4,1,3,36,36,0.5,0.5,issue-112-corrected
30000,26,1151000025,1,secured_objectives,1,0,-1,19,6,4,1,3,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
30000,27,1151000026,0,draw,0,0,0,,6,5,2,3,34,38,0.4722222222222222,0.5277777777777778,issue-112-corrected
30000,28,1151000027,2,secured_objectives,-1,3,4,22,4,3,1,2,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
30000,29,1151000028,2,secured_objectives,-1,1,1,22,6,5,3,2,36,36,0.5,0.5,issue-112-corrected
30000,30,1151000029,2,secured_objectives,-1,4,6,24,7,5,1,4,43,29,0.5972222222222222,0.4027777777777778,issue-112-corrected
30000,31,1151000030,2,objective_pieces,0,0,-1,24,3,4,2,2,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
30000,32,1151000031,0,draw,0,0,0,,8,5,2,3,36,36,0.5,0.5,issue-112-corrected
30000,33,1151000032,0,draw,0,0,0,,5,4,2,2,33,39,0.4583333333333333,0.5416666666666666,issue-112-corrected
30000,34,1151000033,2,secured_objectives,-1,4,4,24,9,3,2,1,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,35,1151000034,1,advantage_objectives,0,1,2,23,8,4,1,3,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
30000,36,1151000035,1,secured_objectives,1,0,0,21,6,3,1,2,36,36,0.5,0.5,issue-112-corrected
30000,37,1151000036,0,draw,0,0,0,,7,4,2,2,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
30000,38,1151000037,1,secured_objectives,1,0,0,23,4,3,1,2,36,36,0.5,0.5,issue-112-corrected
30000,39,1151000038,1,secured_objectives,1,1,0,5,3,4,2,2,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
30000,40,1151000039,2,objective_pieces,0,0,-1,24,7,5,2,3,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
30000,41,1151000040,2,secured_objectives,-1,3,3,24,5,4,2,2,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
30000,42,1151000041,1,secured_objectives,1,0,0,21,6,4,1,3,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
30000,43,1151000042,1,secured_objectives,1,0,0,23,6,4,2,2,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
30000,44,1151000043,2,secured_objectives,-1,2,2,24,9,4,3,1,41,31,0.5694444444444444,0.4305555555555556,issue-112-corrected
30000,45,1151000044,1,secured_objectives,1,0,-1,17,6,5,2,3,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
30000,46,1151000045,1,secured_objectives,2,-2,-3,5,8,5,1,4,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
30000,47,1151000046,1,secured_objectives,1,-2,-2,21,5,5,3,2,36,36,0.5,0.5,issue-112-corrected
30000,48,1151000047,0,draw,0,0,0,,5,3,2,1,33,39,0.4583333333333333,0.5416666666666666,issue-112-corrected
30000,49,1151000048,2,secured_objectives,-1,2,2,24,5,5,2,3,41,31,0.5694444444444444,0.4305555555555556,issue-112-corrected
30000,50,1151000049,0,draw,0,0,0,,6,3,1,2,31,41,0.4305555555555556,0.5694444444444444,issue-112-corrected
30000,51,1151000050,1,objective_pieces,0,0,1,23,4,5,2,3,36,36,0.5,0.5,issue-112-corrected
30000,52,1151000051,1,secured_objectives,1,1,0,3,5,4,2,2,43,29,0.5972222222222222,0.4027777777777778,issue-112-corrected
30000,53,1151000052,1,secured_objectives,1,1,1,3,3,6,3,3,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
30000,54,1151000053,2,secured_objectives,-1,3,4,24,9,4,1,3,34,38,0.4722222222222222,0.5277777777777778,issue-112-corrected
30000,55,1151000054,1,secured_objectives,1,1,1,9,3,5,2,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
