"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"6x6","6x6-uct-0100","100","33","10","0.208333","2","2","S35","supply","","MH"
"6x6","6x6-uct-0100","100","33","10","0.208333","3","2","O14","objective","S14","LH"
"6x6","6x6-uct-0100","100","33","11","0.229167","1","1","S52","supply","","HL"
"6x6","6x6-uct-0100","100","33","11","0.229167","2","1","S33","supply","","MM"
"6x6","6x6-uct-0100","100","33","11","0.229167","3","1","S01","supply","","LL"
"6x6","6x6-uct-0100","100","33","12","0.250000","1","2","O13","objective","S24","LM"
"6x6","6x6-uct-0100","100","33","12","0.250000","2","2","S54","supply","","HM"
"6x6","6x6-uct-0100","100","33","12","0.250000","3","2","O35","objective","S45","MH"
"6x6","6x6-uct-0100","100","33","13","0.270833","1","1","S04","supply","","LM"
"6x6","6x6-uct-0100","100","33","13","0.270833","2","1","O53","objective","S63","HM"
"6x6","6x6-uct-0100","100","33","13","0.270833","3","1","O21","objective","S32","ML"
"6x6","6x6-uct-0100","100","33","14","0.291667","1","2","O13","objective","S24","LM"
"6x6","6x6-uct-0100","100","33","14","0.291667","2","2","O53","objective","S54","HM"
"6x6","6x6-uct-0100","100","33","14","0.291667","3","2","O45","objective","S55","HH"
"6x6","6x6-uct-0100","100","33","15","0.312500","1","1","O23","objective","S34","MM"
"6x6","6x6-uct-0100","100","33","15","0.312500","2","1","O42","objective","S52","HM"
"6x6","6x6-uct-0100","100","33","15","0.312500","3","1","S43","supply","","MM"
"6x6","6x6-uct-0100","100","33","16","0.333333","1","2","O13","objective","S24","LM"
"6x6","6x6-uct-0100","100","33","16","0.333333","2","2","S33","supply","","MM"
"6x6","6x6-uct-0100","100","33","16","0.333333","3","2","O45","objective","S55","HH"
"6x6","6x6-uct-0100","100","33","17","0.354167","1","1","O23","objective","S34","MM"
"6x6","6x6-uct-0100","100","33","17","0.354167","2","1","S53","supply","","HM"
"6x6","6x6-uct-0100","100","33","17","0.354167","3","1","S43","supply","","MM"
"6x6","6x6-uct-0100","100","33","18","0.375000","1","2","O25","objective","S35","MH"
"6x6","6x6-uct-0100","100","33","18","0.375000","2","2","S44","supply","","MM"
"6x6","6x6-uct-0100","100","33","18","0.375000","3","2","O34","objective","S45","MH"
"6x6","6x6-uct-0100","100","33","19","0.395833","1","1","O50","objective","S60","HL"
"6x6","6x6-uct-0100","100","33","19","0.395833","2","1","S34","supply","","MM"
"6x6","6x6-uct-0100","100","33","19","0.395833","3","1","O34","objective","S34","MH"
"6x6","6x6-uct-0100","100","33","20","0.416667","1","2","S10","supply","","LL"
"6x6","6x6-uct-0100","100","33","20","0.416667","2","2","O35","objective","S35","MH"
"6x6","6x6-uct-0100","100","33","20","0.416667","3","2","O34","objective","S44","MH"
"6x6","6x6-uct-0100","100","33","21","0.437500","1","1","S31","supply","","ML"
"6x6","6x6-uct-0100","100","33","21","0.437500","2","1","S14","supply","","LM"
"6x6","6x6-uct-0100","100","33","21","0.437500","3","1","O31","objective","S31","ML"
"6x6","6x6-uct-0100","100","33","22","0.458333","1","2","S16","supply","","LH"
"6x6","6x6-uct-0100","100","33","22","0.458333","2","2","S64","supply","","HM"
"6x6","6x6-uct-0100","100","33","22","0.458333","3","2","S10","supply","","LL"
"6x6","6x6-uct-0100","100","33","23","0.479167","1","1","S50","supply","","HL"
"6x6","6x6-uct-0100","100","33","23","0.479167","2","1","S11","supply","","LL"
"6x6","6x6-uct-0100","100","33","23","0.479167","3","1","O23","objective","S23","MM"
"6x6","6x6-uct-0100","100","33","24","0.500000","1","2","O50","objective","S61","HL"
"6x6","6x6-uct-0100","100","33","24","0.500000","2","2","S36","supply","","MH"
"6x6","6x6-uct-0100","100","33","24","0.500000","3","2","S44","supply","","MM"
