sample,iteration_limit,game_index,early_central_placement_any,early_central_placement_count,first_central_commitment_turn,first_central_commitment_p1_turn,central_occupation_after_p1_turn_1,central_occupation_after_p1_turn_2,central_occupation_after_p1_turn_3,early_central_occupation_turn_count,early_central_contest_any,early_central_contest_turn_count
issue-108-corrected,10000,49,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,50,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,51,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,52,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,53,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,54,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,55,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,56,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,57,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,58,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,59,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,60,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,61,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,62,True,6,1,1,True,True,True,3,True,5
issue-108-corrected,10000,63,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,64,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,65,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,66,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,67,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,68,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,69,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,70,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,71,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,72,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,73,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,74,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,75,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,76,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,77,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,78,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,79,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,80,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,81,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,82,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,83,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,84,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,85,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,86,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,87,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,88,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,89,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,90,True,6,1,1,True,True,True,3,True,5
issue-108-corrected,10000,91,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,92,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,93,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,94,True,6,1,1,True,True,True,3,True,5
issue-108-corrected,10000,95,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,96,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,97,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,10000,98,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,99,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,10000,100,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,30000,1,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,30000,2,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,30000,3,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,30000,4,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,30000,5,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,30000,6,True,7,1,1,True,True,True,3,True,5
issue-108-corrected,30000,7,True,8,1,1,True,True,True,3,True,5
issue-108-corrected,30000,8,True,7,1,1,True,True,True,3,True,5
