checkpoint_turn,feature,uct_30000_standardized_mean_difference,uct_100000_standardized_mean_difference,direction_agreement,uct_30000_direction,uct_100000_direction
16,opponent_secured_objectives,0.024615,-0.214987,0,higher_in_reversal,lower_in_reversal
16,opponent_secured_supply,0.630866,0.166069,1,higher_in_reversal,higher_in_reversal
16,opponent_trend_2_usable_support_edges,0.028347,0.469485,1,higher_in_reversal,higher_in_reversal
16,opponent_trend_4_usable_support_edges,-0.213167,0.261145,0,lower_in_reversal,higher_in_reversal
16,opponent_unsecured_controlled_supply,-0.584259,-0.208015,1,lower_in_reversal,lower_in_reversal
16,opponent_usable_supply_support_edges,-0.055169,0.520388,0,lower_in_reversal,higher_in_reversal
20,S12_leader_relative_state,-0.245825,0.185244,0,lower_in_reversal,higher_in_reversal
20,S13_leader_relative_state,-0.119612,0.018877,0,lower_in_reversal,higher_in_reversal
20,S21_leader_relative_state,-0.430192,0.053749,0,lower_in_reversal,higher_in_reversal
20,S22_leader_relative_state,0.079644,-0.076264,0,higher_in_reversal,lower_in_reversal
20,S23_leader_relative_state,0.457433,-0.150344,0,higher_in_reversal,lower_in_reversal
20,contested_supply_count,0.00087,0.233623,1,higher_in_reversal,higher_in_reversal
20,decisive_layer_advantage_objectives,-0.768253,-0.518875,1,lower_in_reversal,lower_in_reversal
20,decisive_layer_objective_pieces,0.385212,0.029332,1,higher_in_reversal,higher_in_reversal
20,decisive_layer_secured_objectives,0.501512,0.495541,1,higher_in_reversal,higher_in_reversal
20,decisive_margin,-0.413797,-0.324282,1,lower_in_reversal,lower_in_reversal
20,leader_advantage_objective_margin,-1.196658,-0.901489,1,lower_in_reversal,lower_in_reversal
20,leader_advantage_objectives,-1.002122,-0.717125,1,lower_in_reversal,lower_in_reversal
20,leader_cumulative_objective_placements,-0.102877,-0.350319,1,lower_in_reversal,lower_in_reversal
20,leader_cumulative_objective_share,-0.102877,-0.350319,1,lower_in_reversal,lower_in_reversal
20,leader_cumulative_objective_share_margin,-0.755509,-0.650224,1,lower_in_reversal,lower_in_reversal
20,leader_cumulative_supply_placements,0.102877,0.350319,1,higher_in_reversal,higher_in_reversal
20,leader_cumulative_supply_source_usage,-0.102877,-0.350319,1,lower_in_reversal,lower_in_reversal
20,leader_cumulative_supply_source_usage_margin,-0.755509,-0.650224,1,lower_in_reversal,lower_in_reversal
