"board","experiment_id","game_index","player","supply_point","securing_turn","used_after_securing","objective_placements_after_securing","first_use_delay_turns"
"3x3","3x3-uct-0100","3","2","S10","14","true","2","2"
"3x3","3x3-uct-0100","4","2","S12","12","true","1","2"
"3x3","3x3-uct-0100","4","2","S22","16","true","1","2"
"3x3","3x3-uct-0100","5","1","S12","7","true","2","2"
"3x3","3x3-uct-0100","5","1","S11","17","false","0",""
"3x3","3x3-uct-0100","5","2","S33","18","false","0",""
"3x3","3x3-uct-0100","7","1","S02","11","true","1","6"
"3x3","3x3-uct-0100","7","1","S11","13","true","1","2"
"3x3","3x3-uct-0100","7","1","S22","13","true","1","4"
"3x3","3x3-uct-0100","8","1","S02","11","false","0",""
"3x3","3x3-uct-0100","9","1","S23","15","false","0",""
"3x3","3x3-uct-0100","9","2","S11","18","false","0",""
"3x3","3x3-uct-0100","11","2","S12","18","false","0",""
"3x3","3x3-uct-0100","11","2","S13","18","false","0",""
"3x3","3x3-uct-0100","11","2","S20","18","false","0",""
"3x3","3x3-uct-0100","12","1","S22","9","true","3","4"
"3x3","3x3-uct-0100","12","1","S11","13","true","1","4"
"3x3","3x3-uct-0100","12","1","S20","15","false","0",""
"3x3","3x3-uct-0100","13","1","S31","9","true","1","6"
"3x3","3x3-uct-0100","14","2","S11","14","true","1","2"
"3x3","3x3-uct-0100","14","1","S03","17","false","0",""
"3x3","3x3-uct-0100","14","1","S31","17","false","0",""
"3x3","3x3-uct-0100","16","1","S00","13","false","0",""
"3x3","3x3-uct-0100","16","2","S10","16","false","0",""
"3x3","3x3-uct-0100","16","1","S13","17","false","0",""
"3x3","3x3-uct-0100","16","2","S32","18","false","0",""
"3x3","3x3-uct-0100","17","2","S23","8","true","2","4"
"3x3","3x3-uct-0100","17","2","S20","14","true","1","2"
"3x3","3x3-uct-0100","18","1","S03","11","false","0",""
"3x3","3x3-uct-0100","18","2","S11","12","false","0",""
"3x3","3x3-uct-0100","18","2","S23","18","false","0",""
"3x3","3x3-uct-0100","19","1","S11","5","true","3","4"
"3x3","3x3-uct-0100","19","2","S10","12","true","1","2"
"3x3","3x3-uct-0100","20","1","S12","7","true","2","2"
"3x3","3x3-uct-0100","20","1","S01","13","true","1","4"
"3x3","3x3-uct-0100","20","2","S00","18","false","0",""
"3x3","3x3-uct-0100","21","1","S23","9","true","2","2"
"3x3","3x3-uct-0100","21","1","S02","15","false","0",""
"3x3","3x3-uct-0100","22","2","S11","10","true","4","2"
"3x3","3x3-uct-0100","23","2","S12","8","true","4","2"
"3x3","3x3-uct-0100","24","2","S32","16","false","0",""
"3x3","3x3-uct-0100","25","2","S03","10","true","1","8"
"3x3","3x3-uct-0100","25","1","S23","15","true","1","2"
"3x3","3x3-uct-0100","26","2","S02","6","true","5","2"
"3x3","3x3-uct-0100","27","1","S31","13","true","1","4"
"3x3","3x3-uct-0100","27","2","S23","18","false","0",""
"3x3","3x3-uct-0100","28","2","S22","16","true","1","2"
"3x3","3x3-uct-0100","29","2","S13","12","true","1","2"
"3x3","3x3-uct-0100","29","2","S01","16","false","0",""
"3x3","3x3-uct-0100","29","1","S12","17","false","0",""
"3x3","3x3-uct-0100","30","2","S10","18","false","0",""
"3x3","3x3-uct-0100","31","2","S11","8","true","4","2"
"3x3","3x3-uct-0100","31","1","S21","11","true","3","2"
"3x3","3x3-uct-0100","31","2","S32","12","true","2","4"
"3x3","3x3-uct-0100","31","2","S00","16","false","0",""
"3x3","3x3-uct-0100","32","2","S12","10","true","4","2"
