experiment_id,iteration_limit,supply_point,spatial_category,player_games,player_games_with_placement,placement_player_game_frequency,pieces_placed,pieces_placed_per_player_game,mean_first_placement_turn,player_games_with_unsecured_control,unsecured_control_frequency,mean_first_unsecured_control_turn,player_games_with_controlled_or_secured,controlled_or_secured_frequency,mean_first_control_turn,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turn_share,contested_turn_share,player_games_secured,secured_frequency,mean_first_securing_turn,legal_securable_opportunities,securing_opportunities_taken,securing_rate_per_repeated_opportunity,ever_securable_player_sites,ever_securable_eventually_secured,eventual_securing_rate_per_ever_securable_player_site,supply_usage_turns,objective_placements_supplied,objective_placements_supplied_per_player_game,player_games_with_supply_usage,supply_usage_player_game_frequency,mean_objective_sites_supplied,mean_objective_coverage,usage_after_first_control,usage_after_securing,mean_usage_after_securing_per_secured_player_site,final_unsecured_control_rate,final_secured_rate,final_controlled_or_secured_rate
uct-10000-self-play,10000,S20,edge,200,52,0.26,61,0.305,18.788462,40,0.2,19.175,40,0.2,19.175,150,12,162,0.03125,0.0025,0.03375,0.9325,0.0375,1,0.005,13,112,1,0.008929,33,1,0.030303,24,24,0.12,11,0.055,0.08,0.04,24,0,0.0,0.145,0.005,0.15
uct-10000-self-play,10000,S21,interior,200,177,0.885,343,1.715,6.141243,118,0.59,6,128,0.64,6.320312,725,557,1282,0.151042,0.116042,0.267083,0.465833,0.590833,42,0.21,11.738095,1021,42,0.041136,172,42,0.244186,372,372,1.86,97,0.485,1.06,0.265,372,173,4.119048,0.11,0.21,0.32
uct-10000-self-play,10000,S22,interior,200,164,0.82,309,1.545,5.042683,111,0.555,5.054054,125,0.625,5.28,820,578,1398,0.170833,0.120417,0.29125,0.4175,0.570833,38,0.19,9.789474,971,38,0.039135,159,38,0.238994,353,353,1.765,91,0.455,1.03,0.2575,353,147,3.868421,0.135,0.19,0.325
uct-10000-self-play,10000,S23,interior,200,177,0.885,344,1.72,5.937853,125,0.625,5.848,134,0.67,5.985075,740,612,1352,0.154167,0.1275,0.281667,0.436667,0.60125,46,0.23,11.695652,988,46,0.046559,172,46,0.267442,400,400,2.0,94,0.47,1.13,0.2825,400,190,4.130435,0.11,0.23,0.34
uct-10000-self-play,10000,S24,edge,200,38,0.19,47,0.235,18.473684,28,0.14,19.142857,28,0.14,19.142857,99,5,104,0.020625,0.001042,0.021667,0.956667,0.037083,1,0.005,20,92,1,0.01087,29,1,0.034483,14,14,0.07,9,0.045,0.06,0.03,14,1,1.0,0.09,0.005,0.095
uct-10000-self-play,10000,S30,edge,200,50,0.25,61,0.305,17.6,39,0.195,17.666667,40,0.2,17.825,211,7,218,0.043958,0.001458,0.045417,0.909167,0.035,3,0.015,22.666667,145,3,0.02069,33,3,0.090909,39,39,0.195,16,0.08,0.12,0.06,39,2,0.666667,0.14,0.015,0.155
uct-10000-self-play,10000,S31,interior,200,187,0.935,358,1.79,8.245989,111,0.555,7.351351,119,0.595,7.554622,688,507,1195,0.143333,0.105625,0.248958,0.502083,0.55125,45,0.225,13.733333,965,45,0.046632,177,45,0.254237,336,336,1.68,87,0.435,0.98,0.245,336,159,3.533333,0.085,0.225,0.31
uct-10000-self-play,10000,S32,interior,200,165,0.825,300,1.5,6.49697,103,0.515,5.757282,108,0.54,5.87963,715,491,1206,0.148958,0.102292,0.25125,0.4975,0.532083,35,0.175,10.971429,946,35,0.036998,163,35,0.214724,343,343,1.715,80,0.4,0.94,0.235,343,144,4.114286,0.12,0.175,0.295
uct-10000-self-play,10000,S33,interior,200,170,0.85,315,1.575,7.235294,99,0.495,5.79798,106,0.53,6.160377,708,409,1117,0.1475,0.085208,0.232708,0.534583,0.524583,37,0.185,13.945946,1010,37,0.036634,167,37,0.221557,335,335,1.675,83,0.415,0.96,0.24,335,123,3.324324,0.095,0.185,0.28
uct-10000-self-play,10000,S34,edge,200,46,0.23,49,0.245,20.108696,34,0.17,19.970588,34,0.17,19.970588,119,0,119,0.024792,0.0,0.024792,0.950417,0.0225,0,0.0,0.0,78,0,0.0,30,0,0.0,20,20,0.1,11,0.055,0.075,0.0375,20,0,0.0,0.115,0.0,0.115
uct-10000-self-play,10000,S40,corner,200,19,0.095,19,0.095,21.947368,16,0.08,22.0625,16,0.08,22.0625,36,0,36,0.0075,0.0,0.0075,0.985,0.004583,0,0.0,0.0,14,0,0.0,8,0,0.0,2,2,0.01,2,0.01,0.01,0.01,2,0,0.0,0.065,0.0,0.065
uct-10000-self-play,10000,S41,edge,200,52,0.26,64,0.32,19.307692,38,0.19,19.368421,38,0.19,19.368421,145,7,152,0.030208,0.001458,0.031667,0.936667,0.035833,1,0.005,18,103,1,0.009709,32,1,0.03125,22,22,0.11,11,0.055,0.08,0.04,22,1,1.0,0.135,0.005,0.14
