"board","search_level","window_turns","metric","games","value","median","ci_low","ci_high","primary"
"4x4","uct-1000","4","mean_opportunity_adjusted_activity","100","3.636703","3.632021","3.512682","3.760564","true"
"4x4","uct-1000","4","focus_switch_rate","99","0.828198","0.900000","0.781802","0.870254","true"
"4x4","uct-1000","4","focus_eligible_fraction","100","0.212174","0.217391","0.191304","0.233044","true"
"4x4","uct-1000","4","no_dominant_turn_rate","100","0.568333","0.583333","0.546667","0.589167","true"
"4x4","uct-1000","4","mean_focus_persistence","100","1.088948","1.074176","1.067400","1.111061","true"
"4x4","uct-1000","4","mean_focus_switch_distance","96","1.820437","1.775000","1.725856","1.911818","true"
"6x6","seeded-random","4","mean_active_regions","100","5.506250","5.541667","5.424583","5.585833","false"
"6x6","seeded-random","4","multi_active_turn_rate","100","0.941667","0.937500","0.936042","0.946875","false"
"6x6","seeded-random","4","longest_multi_active_run","100","45.060000","45.000000","44.720000","45.360000","false"
"6x6","seeded-random","4","longest_multi_active_run_fraction","100","0.938750","0.937500","0.932083","0.945208","false"
"6x6","seeded-random","4","mean_multi_active_run","100","44.120000","45.000000","42.950000","45.030000","false"
"6x6","seeded-random","4","mean_multi_active_run_fraction","100","0.919167","0.937500","0.896042","0.939063","false"
"6x6","seeded-random","4","mean_both_invested_regions","100","2.119167","2.125000","2.071875","2.166667","false"
"6x6","seeded-random","4","multi_both_invested_turn_rate","100","0.737083","0.750000","0.719583","0.754167","false"
"6x6","seeded-random","4","mixed_leadership_turn_rate","100","0.847292","0.854167","0.834792","0.859375","false"
"6x6","seeded-random","4","longest_mixed_leadership_run","100","40.190000","41.000000","39.440000","40.920000","false"
"6x6","seeded-random","4","longest_mixed_leadership_run_fraction","100","0.837292","0.854167","0.820000","0.852292","false"
"6x6","seeded-random","4","mean_mixed_leadership_run","100","37.960000","41.000000","36.235000","39.480000","false"
"6x6","seeded-random","4","mean_mixed_leadership_run_fraction","100","0.790833","0.854167","0.755104","0.823854","false"
"6x6","seeded-random","4","mean_p1_led_regions","100","3.257083","3.322917","3.129167","3.380208","false"
