"board","experiment_id","search_level","game_index","window_turns","region","active_turns","active_turn_rate","both_invested_turns","both_invested_turn_rate","mean_regional_opportunity_share","opportunity_adjusted_activity","regional_capacity_share","total_points","supply_points","objectives"
"3x3","3x3-seeded-random","seeded-random","8","4","LH","16","0.888889","8","0.444444","0.129022","6.889463","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","8","4","ML","13","0.722222","10","0.555556","0.123067","5.868518","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","8","4","MM","5","0.277778","5","0.277778","0.075113","3.698126","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","8","4","MH","0","0.000000","0","0.000000","0.080977","0.000000","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","8","4","HL","3","0.166667","0","0.000000","0.134501","1.239149","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","8","4","HM","10","0.555556","1","0.055556","0.077784","7.142240","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","8","4","HH","0","0.000000","0","0.000000","0.069558","0.000000","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","9","4","LL","12","0.666667","9","0.500000","0.199117","3.348118","0.200000","5","4","1"
"3x3","3x3-seeded-random","seeded-random","9","4","LM","8","0.444444","5","0.277778","0.130218","3.413086","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","9","4","LH","4","0.222222","3","0.166667","0.105937","2.097683","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","9","4","ML","11","0.611111","9","0.500000","0.132633","4.607527","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","9","4","MM","0","0.000000","0","0.000000","0.091406","0.000000","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","9","4","MH","5","0.277778","4","0.222222","0.082913","3.350234","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","9","4","HL","8","0.444444","8","0.444444","0.101770","4.367167","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","9","4","HM","0","0.000000","0","0.000000","0.082781","0.000000","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","9","4","HH","0","0.000000","0","0.000000","0.073226","0.000000","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","10","4","LL","16","0.888889","12","0.666667","0.212857","4.175992","0.200000","5","4","1"
"3x3","3x3-seeded-random","seeded-random","10","4","LM","9","0.500000","3","0.166667","0.134344","3.721789","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","10","4","LH","0","0.000000","0","0.000000","0.111230","0.000000","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","10","4","ML","15","0.833333","10","0.555556","0.134065","6.215867","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","10","4","MM","4","0.222222","0","0.000000","0.076619","2.900337","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","10","4","MH","7","0.388889","3","0.166667","0.077018","5.049314","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","10","4","HL","9","0.500000","4","0.222222","0.115460","4.330485","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","10","4","HM","6","0.333333","4","0.222222","0.074712","4.461554","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","10","4","HH","0","0.000000","0","0.000000","0.063694","0.000000","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","11","4","LL","17","0.944444","9","0.500000","0.229028","4.123706","0.200000","5","4","1"
"3x3","3x3-seeded-random","seeded-random","11","4","LM","7","0.388889","5","0.277778","0.111494","3.487982","0.120000","3","2","1"
