"board","search_level","threshold","revisit_lag","count","fraction"
"6x6","uct-0100","3","18","2","0.001348"
"6x6","uct-0100","3","19","3","0.002022"
"6x6","uct-0100","3","22","2","0.001348"
"6x6","uct-0100","3","25","1","0.000674"
"6x6","uct-0500","1","1","1257","0.406533"
"6x6","uct-0500","1","2","519","0.167853"
"6x6","uct-0500","1","3","477","0.154269"
"6x6","uct-0500","1","4","213","0.068887"
"6x6","uct-0500","1","5","203","0.065653"
"6x6","uct-0500","1","6","135","0.043661"
"6x6","uct-0500","1","7","84","0.027167"
"6x6","uct-0500","1","8","64","0.020699"
"6x6","uct-0500","1","9","42","0.013583"
"6x6","uct-0500","1","10","24","0.007762"
"6x6","uct-0500","1","11","23","0.007439"
"6x6","uct-0500","1","12","12","0.003881"
"6x6","uct-0500","1","13","13","0.004204"
"6x6","uct-0500","1","14","6","0.001940"
"6x6","uct-0500","1","15","5","0.001617"
"6x6","uct-0500","1","16","3","0.000970"
"6x6","uct-0500","1","17","4","0.001294"
"6x6","uct-0500","1","18","1","0.000323"
"6x6","uct-0500","1","19","1","0.000323"
"6x6","uct-0500","1","20","3","0.000970"
"6x6","uct-0500","1","21","1","0.000323"
"6x6","uct-0500","1","23","1","0.000323"
"6x6","uct-0500","1","26","1","0.000323"
"6x6","uct-0500","2","2","519","0.282834"
"6x6","uct-0500","2","3","477","0.259946"
"6x6","uct-0500","2","4","213","0.116076"
"6x6","uct-0500","2","5","203","0.110627"
"6x6","uct-0500","2","6","135","0.073569"
"6x6","uct-0500","2","7","84","0.045777"
"6x6","uct-0500","2","8","64","0.034877"
"6x6","uct-0500","2","9","42","0.022888"
"6x6","uct-0500","2","10","24","0.013079"
"6x6","uct-0500","2","11","23","0.012534"
"6x6","uct-0500","2","12","12","0.006540"
"6x6","uct-0500","2","13","13","0.007084"
"6x6","uct-0500","2","14","6","0.003270"
"6x6","uct-0500","2","15","5","0.002725"
"6x6","uct-0500","2","16","3","0.001635"
"6x6","uct-0500","2","17","4","0.002180"
"6x6","uct-0500","2","18","1","0.000545"
"6x6","uct-0500","2","19","1","0.000545"
"6x6","uct-0500","2","20","3","0.001635"
"6x6","uct-0500","2","21","1","0.000545"
"6x6","uct-0500","2","23","1","0.000545"
"6x6","uct-0500","2","26","1","0.000545"
"6x6","uct-0500","3","3","477","0.362462"
"6x6","uct-0500","3","4","213","0.161854"
"6x6","uct-0500","3","5","203","0.154255"
"6x6","uct-0500","3","6","135","0.102584"
"6x6","uct-0500","3","7","84","0.063830"
"6x6","uct-0500","3","8","64","0.048632"
"6x6","uct-0500","3","9","42","0.031915"
"6x6","uct-0500","3","10","24","0.018237"
"6x6","uct-0500","3","11","23","0.017477"
"6x6","uct-0500","3","12","12","0.009119"
"6x6","uct-0500","3","13","13","0.009878"
"6x6","uct-0500","3","14","6","0.004559"
"6x6","uct-0500","3","15","5","0.003799"
"6x6","uct-0500","3","16","3","0.002280"
"6x6","uct-0500","3","17","4","0.003040"
"6x6","uct-0500","3","18","1","0.000760"
"6x6","uct-0500","3","19","1","0.000760"
"6x6","uct-0500","3","20","3","0.002280"
"6x6","uct-0500","3","21","1","0.000760"
"6x6","uct-0500","3","23","1","0.000760"
"6x6","uct-0500","3","26","1","0.000760"
"6x6","uct-1000","1","1","1259","0.423906"
"6x6","uct-1000","1","2","478","0.160943"
"6x6","uct-1000","1","3","435","0.146465"
"6x6","uct-1000","1","4","195","0.065657"
