"board","search_level","threshold","lag","normalized_lag","at_risk","persistent_revisits","reactivation_revisits","never_revisited_resolved","never_revisited_nonfront_return","right_censored"
"4x4","uct-1000","1","0","0.000000","2203","0","0","0","0","120"
"4x4","uct-1000","1","1","0.041667","2083","859","0","0","37","76"
"4x4","uct-1000","1","2","0.083333","1111","260","0","37","0","49"
"4x4","uct-1000","1","3","0.125000","765","176","0","0","2","38"
"4x4","uct-1000","1","4","0.166667","549","0","97","0","3","27"
"4x4","uct-1000","1","5","0.208333","422","0","81","0","1","28"
"4x4","uct-1000","1","6","0.250000","312","0","48","0","1","18"
"4x4","uct-1000","1","7","0.291667","245","0","38","0","0","17"
"4x4","uct-1000","1","8","0.333333","190","0","28","0","0","12"
"4x4","uct-1000","1","9","0.375000","150","0","35","0","2","9"
"4x4","uct-1000","1","10","0.416667","104","0","15","0","0","6"
"4x4","uct-1000","1","11","0.458333","83","0","16","0","0","9"
"4x4","uct-1000","1","12","0.500000","58","0","11","0","1","5"
"4x4","uct-1000","1","13","0.541667","41","0","8","0","0","4"
"4x4","uct-1000","1","14","0.583333","29","0","4","0","0","1"
"4x4","uct-1000","1","15","0.625000","24","0","5","0","0","1"
"4x4","uct-1000","1","16","0.666667","18","0","4","0","0","1"
"4x4","uct-1000","1","17","0.708333","13","0","5","0","0","1"
"4x4","uct-1000","1","18","0.750000","7","0","0","0","0","2"
"4x4","uct-1000","1","19","0.791667","5","0","0","0","0","2"
"4x4","uct-1000","1","20","0.833333","3","0","0","0","0","2"
"4x4","uct-1000","1","21","0.875000","1","0","0","0","0","1"
"4x4","uct-1000","3","0","0.000000","814","0","0","0","0","0"
"4x4","uct-1000","3","1","0.041667","814","0","0","0","0","0"
"4x4","uct-1000","3","2","0.083333","814","0","0","0","0","49"
"4x4","uct-1000","3","3","0.125000","765","176","0","0","2","38"
