"board","experiment_id","search_level","game_index","threshold","turns","mean_dormant_active_fronts","dormant_ge1_turn_rate","dormant_ge2_turn_rate","longest_dormant_run","longest_dormant_run_fraction","mean_backlog_size","max_backlog_size","backlog_ge1_turn_rate","backlog_ge2_turn_rate","longest_backlog_run","longest_backlog_run_fraction","qualifying_departures","persistent_revisits","reactivation_revisits","never_revisited","right_censored","revisit_rate_observed","never_revisited_rate_observed","right_censored_rate","simple_end_revisit_rate","mean_revisit_lag","median_revisit_lag","mean_normalized_revisit_lag","distinct_revisited_regions","repeated_revisit_regions","fixed_four_turn_eligible","revisit_within_four_turns_rate","early_departures","early_revisit_within_quarter_rate"
"3x3","3x3-uct-0100","uct-0100","46","2","18","0.777778","0.611111","0.166667","7","0.388889","1.611111","4","0.722222","0.555556","13","0.722222","8","1","4","1","2","0.833333","0.166667","0.250000","0.625000","4.200000","4.000000","0.233333","4","1","6","0.666667","3","0.666667"
"3x3","3x3-uct-0100","uct-0100","46","1","18","1.611111","0.722222","0.555556","13","0.722222","1.611111","4","0.722222","0.555556","13","0.722222","15","7","4","2","2","0.846154","0.153846","0.133333","0.733333","2.454545","1.000000","0.136364","6","3","11","0.818182","4","0.750000"
"3x3","3x3-uct-0100","uct-0100","46","3","18","0.333333","0.333333","0.000000","2","0.111111","1.611111","4","0.722222","0.555556","13","0.722222","6","0","4","0","2","1.000000","0.000000","0.333333","0.666667","4.750000","4.000000","0.263889","3","1","5","0.600000","2","0.500000"
"3x3","3x3-uct-0100","uct-0100","47","2","18","0.777778","0.500000","0.277778","7","0.388889","1.555556","4","0.666667","0.555556","8","0.444444","8","3","1","1","3","0.800000","0.200000","0.375000","0.500000","3.250000","3.000000","0.180556","4","0","6","0.500000","2","0.000000"
"3x3","3x3-uct-0100","uct-0100","47","1","18","1.555556","0.666667","0.555556","8","0.444444","1.555556","4","0.666667","0.555556","8","0.444444","14","7","1","1","5","0.888889","0.111111","0.357143","0.571429","2.125000","1.500000","0.118056","5","2","10","0.700000","5","0.600000"
"3x3","3x3-uct-0100","uct-0100","47","3","18","0.333333","0.277778","0.055556","2","0.111111","1.555556","4","0.666667","0.555556","8","0.444444","6","2","1","1","2","0.750000","0.250000","0.333333","0.500000","3.666667","3.000000","0.203704","3","0","5","0.400000","2","0.000000"
"3x3","3x3-uct-0100","uct-0100","48","2","18","0.888889","0.611111","0.277778","9","0.500000","1.888889","4","0.777778","0.611111","10","0.555556","10","4","3","0","3","1.000000","0.000000","0.300000","0.700000","4.142857","3.000000","0.230159","5","2","7","0.428571","4","0.500000"
"3x3","3x3-uct-0100","uct-0100","48","1","18","1.888889","0.777778","0.611111","10","0.555556","1.888889","4","0.777778","0.611111","10","0.555556","18","9","3","2","4","0.857143","0.142857","0.222222","0.666667","2.833333","2.000000","0.157407","7","4","12","0.666667","5","0.600000"
"3x3","3x3-uct-0100","uct-0100","48","3","18","0.333333","0.333333","0.000000","3","0.166667","1.888889","4","0.777778","0.611111","10","0.555556","6","1","3","0","2","1.000000","0.000000","0.333333","0.666667","5.750000","5.500000","0.319444","3","1","5","0.200000","2","0.000000"
"3x3","3x3-uct-0100","uct-0100","49","2","18","0.833333","0.500000","0.333333","4","0.222222","1.555556","3","0.722222","0.555556","6","0.333333","9","3","4","0","2","1.000000","0.000000","0.222222","0.777778","5.571429","5.000000","0.309524","5","2","6","0.333333","4","0.500000"
"3x3","3x3-uct-0100","uct-0100","49","1","18","1.555556","0.722222","0.555556","6","0.333333","1.555556","3","0.722222","0.555556","6","0.333333","13","6","4","0","3","1.000000","0.000000","0.230769","0.769231","4.200000","2.500000","0.233333","6","3","8","0.500000","5","0.600000"
"3x3","3x3-uct-0100","uct-0100","49","3","18","0.333333","0.277778","0.055556","2","0.111111","1.555556","3","0.722222","0.555556","6","0.333333","6","1","4","0","1","1.000000","0.000000","0.166667","0.833333","7.000000","7.000000","0.388889","4","1","5","0.200000","4","0.500000"
"3x3","3x3-uct-0100","uct-0100","50","2","18","1.055556","0.666667","0.388889","12","0.666667","2.055556","5","0.722222","0.722222","13","0.722222","11","4","2","1","4","0.857143","0.142857","0.363636","0.545455","3.833333","3.000000","0.212963","4","2","9","0.444444","4","0.500000"
"3x3","3x3-uct-0100","uct-0100","50","1","18","2.055556","0.722222","0.722222","13","0.722222","2.055556","5","0.722222","0.722222","13","0.722222","18","10","2","1","5","0.923077","0.076923","0.277778","0.666667","2.416667","1.500000","0.134259","6","4","13","0.615385","5","0.600000"
"3x3","3x3-uct-0100","uct-0100","50","3","18","0.444444","0.333333","0.111111","2","0.111111","2.055556","5","0.722222","0.722222","13","0.722222","8","2","2","1","3","0.800000","0.200000","0.375000","0.500000","4.750000","4.500000","0.263889","3","1","7","0.285714","4","0.500000"
"3x3","3x3-uct-0100","uct-0100","51","2","18","1.000000","0.666667","0.277778","8","0.444444","2.000000","4","0.833333","0.666667","12","0.666667","12","8","1","0","3","1.000000","0.000000","0.250000","0.750000","2.888889","2.000000","0.160494","4","3","8","0.875000","3","1.000000"
"3x3","3x3-uct-0100","uct-0100","51","1","18","2.000000","0.833333","0.666667","12","0.666667","2.000000","4","0.833333","0.666667","12","0.666667","18","12","1","0","5","1.000000","0.000000","0.277778","0.722222","2.307692","2.000000","0.128205","5","5","12","0.916667","5","1.000000"
"3x3","3x3-uct-0100","uct-0100","51","3","18","0.333333","0.333333","0.000000","2","0.111111","2.000000","4","0.833333","0.666667","12","0.666667","6","3","1","0","2","1.000000","0.000000","0.333333","0.666667","4.000000","3.000000","0.222222","2","1","4","0.750000","2","1.000000"
"3x3","3x3-uct-0100","uct-0100","52","2","18","0.611111","0.500000","0.111111","5","0.277778","1.611111","4","0.777778","0.500000","14","0.777778","8","6","0","1","1","0.857143","0.142857","0.125000","0.750000","2.333333","2.000000","0.129630","5","1","6","0.833333","3","1.000000"
"3x3","3x3-uct-0100","uct-0100","52","1","18","1.611111","0.777778","0.500000","14","0.777778","1.611111","4","0.777778","0.500000","14","0.777778","18","13","0","3","2","0.812500","0.187500","0.111111","0.722222","1.615385","1.000000","0.089744","7","4","13","0.769231","6","1.000000"
"3x3","3x3-uct-0100","uct-0100","52","3","18","0.166667","0.166667","0.000000","1","0.055556","1.611111","4","0.777778","0.500000","14","0.777778","3","2","0","0","1","1.000000","0.000000","0.333333","0.666667","3.000000","3.000000","0.166667","2","0","3","0.666667","1","1.000000"
"3x3","3x3-uct-0100","uct-0100","53","2","18","1.444444","0.777778","0.611111","13","0.722222","2.666667","5","0.888889","0.833333","16","0.888889","15","8","2","0","5","1.000000","0.000000","0.333333","0.666667","3.500000","3.000000","0.194444","7","3","13","0.692308","7","0.857143"
"3x3","3x3-uct-0100","uct-0100","53","1","18","2.666667","0.888889","0.833333","16","0.888889","2.666667","5","0.888889","0.833333","16","0.888889","22","15","2","0","5","1.000000","0.000000","0.227273","0.772727","2.470588","2.000000","0.137255","8","5","16","0.750000","8","0.875000"
"3x3","3x3-uct-0100","uct-0100","53","3","18","0.611111","0.611111","0.000000","11","0.611111","2.666667","5","0.888889","0.833333","16","0.888889","11","6","2","0","3","1.000000","0.000000","0.272727","0.727273","3.875000","3.000000","0.215278","6","2","11","0.636364","6","0.833333"
"3x3","3x3-uct-0100","uct-0100","54","2","18","0.944444","0.611111","0.277778","10","0.555556","2.166667","4","0.777778","0.666667","14","0.777778","11","5","2","0","4","1.000000","0.000000","0.363636","0.636364","2.714286","2.000000","0.150794","6","1","8","0.875000","4","1.000000"
"3x3","3x3-uct-0100","uct-0100","54","1","18","2.166667","0.777778","0.666667","14","0.777778","2.166667","4","0.777778","0.666667","14","0.777778","22","14","2","1","5","0.941176","0.058824","0.227273","0.727273","1.750000","1.000000","0.097222","6","5","15","0.866667","7","1.000000"
