checkpoint_turn,feature,uct_10000_standardized_mean_difference,uct_3000_standardized_mean_difference,direction_agreement,uct_10000_direction,uct_3000_direction
12,opponent_trend_4_usable_support_edges,-0.299611,0.011226,0,lower_in_reversal,higher_in_reversal
12,opponent_unsecured_controlled_supply,-0.102535,0.26416,0,lower_in_reversal,higher_in_reversal
12,opponent_usable_supply_support_edges,-0.502856,0.35733,0,lower_in_reversal,higher_in_reversal
16,S12_leader_relative_state,-0.465056,-0.298303,1,lower_in_reversal,lower_in_reversal
16,S13_leader_relative_state,-0.380646,-0.257145,1,lower_in_reversal,lower_in_reversal
16,S21_leader_relative_state,0.231591,-0.473488,0,higher_in_reversal,lower_in_reversal
16,S22_leader_relative_state,0.322462,0.305245,1,higher_in_reversal,higher_in_reversal
16,S23_leader_relative_state,0.461075,-0.110422,0,higher_in_reversal,lower_in_reversal
16,contested_supply_count,-0.29939,0.021789,0,lower_in_reversal,higher_in_reversal
16,decisive_layer_advantage_objectives,-0.08028,0.067525,0,lower_in_reversal,higher_in_reversal
16,decisive_layer_objective_pieces,0.011334,-0.265827,0,higher_in_reversal,lower_in_reversal
16,decisive_layer_secured_objectives,0.071242,0.087162,1,higher_in_reversal,higher_in_reversal
16,decisive_margin,-0.439983,0.304968,0,lower_in_reversal,higher_in_reversal
16,leader_advantage_objective_margin,0.064651,-0.048755,0,higher_in_reversal,lower_in_reversal
16,leader_advantage_objectives,-0.00982,-0.15265,1,lower_in_reversal,lower_in_reversal
16,leader_cumulative_objective_placements,0.256112,-0.028203,0,higher_in_reversal,lower_in_reversal
16,leader_cumulative_objective_share,0.256112,-0.028203,0,higher_in_reversal,lower_in_reversal
16,leader_cumulative_objective_share_margin,0.007401,-0.074042,0,higher_in_reversal,lower_in_reversal
16,leader_cumulative_supply_placements,-0.256112,0.028203,0,lower_in_reversal,higher_in_reversal
16,leader_cumulative_supply_source_usage,0.256112,-0.028203,0,higher_in_reversal,lower_in_reversal
16,leader_cumulative_supply_source_usage_margin,0.007401,-0.074042,0,higher_in_reversal,lower_in_reversal
16,leader_objective_piece_margin,0.007401,-0.074042,0,higher_in_reversal,lower_in_reversal
16,leader_objective_pieces,0.256112,-0.028203,0,higher_in_reversal,lower_in_reversal
16,leader_primary_important_control_margin,0.232758,-0.424105,0,higher_in_reversal,lower_in_reversal
16,leader_primary_important_sites_controlled,0.305931,-0.308779,0,higher_in_reversal,lower_in_reversal
16,leader_recent_2_all_objective_turn_margin,0.413908,0.207305,1,higher_in_reversal,higher_in_reversal
16,leader_recent_2_all_supply_turn_margin,-0.007911,-0.043348,1,lower_in_reversal,lower_in_reversal
16,leader_recent_2_important_site_usage,-0.052832,-0.251616,1,lower_in_reversal,lower_in_reversal
16,leader_recent_2_important_site_usage_margin,0.13439,-0.122164,0,higher_in_reversal,lower_in_reversal
16,leader_recent_2_mixed_turn_margin,-0.409424,-0.168397,1,lower_in_reversal,lower_in_reversal
16,leader_recent_2_objective_placements,0.032859,-0.05442,0,higher_in_reversal,lower_in_reversal
16,leader_recent_2_objective_share_margin,0.27413,0.1434,1,higher_in_reversal,higher_in_reversal
16,leader_recent_2_supply_placements,-0.032859,0.05442,0,lower_in_reversal,higher_in_reversal
16,leader_recent_2_supply_source_usage_margin,0.27413,0.1434,1,higher_in_reversal,higher_in_reversal
16,leader_recent_4_all_objective_turn_margin,0.461272,-0.104815,0,higher_in_reversal,lower_in_reversal
16,leader_recent_4_all_supply_turn_margin,0.218085,0.142356,1,higher_in_reversal,higher_in_reversal
16,leader_recent_4_important_site_usage,-0.062229,-0.369021,1,lower_in_reversal,lower_in_reversal
16,leader_recent_4_important_site_usage_margin,0.134136,-0.292758,0,higher_in_reversal,lower_in_reversal
16,leader_recent_4_mixed_turn_margin,-0.515322,0.040422,0,lower_in_reversal,higher_in_reversal
16,leader_recent_4_objective_allocation_change_margin,0.353569,0.387416,1,higher_in_reversal,higher_in_reversal
16,leader_recent_4_objective_placement_margin,0.025481,-0.162973,0,higher_in_reversal,lower_in_reversal
16,leader_recent_4_objective_placements,-0.004679,-0.239264,1,lower_in_reversal,lower_in_reversal
16,leader_recent_4_objective_share_margin,0.025481,-0.162973,0,higher_in_reversal,lower_in_reversal
16,leader_recent_4_supply_allocation_change,-0.052619,-0.187915,1,lower_in_reversal,lower_in_reversal
16,leader_recent_4_supply_allocation_change_margin,-0.353569,-0.387416,1,lower_in_reversal,lower_in_reversal
16,leader_recent_4_supply_placements,0.004679,0.239264,1,higher_in_reversal,higher_in_reversal
16,leader_recent_4_supply_source_usage_margin,0.025481,-0.162973,0,higher_in_reversal,lower_in_reversal
16,leader_secured_objective_margin,-0.144225,0.335004,0,lower_in_reversal,higher_in_reversal
16,leader_secured_objectives,0.179635,0.052006,1,higher_in_reversal,higher_in_reversal
16,leader_secured_supply,-0.314663,-0.130717,1,lower_in_reversal,lower_in_reversal
16,leader_secured_supply_margin,-0.294289,-0.39325,1,lower_in_reversal,lower_in_reversal
16,leader_trend_2_advantage_objective_margin,-0.054963,0.289549,0,lower_in_reversal,higher_in_reversal
16,leader_trend_2_important_control_margin,-0.233125,-0.689258,1,lower_in_reversal,lower_in_reversal
16,leader_trend_2_objective_piece_margin,0.27413,0.1434,1,higher_in_reversal,higher_in_reversal
16,leader_trend_2_secured_objective_margin,0.089111,-0.046407,0,higher_in_reversal,lower_in_reversal
16,leader_trend_2_secured_supply_margin,-0.024832,-0.328818,1,lower_in_reversal,lower_in_reversal
16,leader_trend_2_support_edge_margin,-0.395613,-0.262935,1,lower_in_reversal,lower_in_reversal
16,leader_trend_2_unsecured_control_margin,-0.261919,0.014327,0,lower_in_reversal,higher_in_reversal
