experiment_id,checkpoint_turn,feature,reversal_n,lead_preserved_n,reversal_mean,reversal_median,lead_preserved_mean,lead_preserved_median,standardized_mean_difference,effect_direction,absolute_standardized_difference
uct-10000-self-play,12,leader_recent_4_supply_placements,37,35,2.324324,2.0,2.657143,3.0,-0.300278,lower_in_reversal,0.300278
uct-10000-self-play,12,opponent_recent_4_supply_placements,37,35,2.27027,2.0,2.714286,3.0,-0.374422,lower_in_reversal,0.374422
uct-10000-self-play,12,leader_recent_4_objective_placements,37,35,3.675676,4.0,3.342857,3.0,0.300278,higher_in_reversal,0.300278
uct-10000-self-play,12,opponent_recent_4_objective_placements,37,35,3.72973,4.0,3.285714,3.0,0.374422,higher_in_reversal,0.374422
uct-10000-self-play,12,leader_recent_4_objective_placement_margin,37,35,-0.054054,0.0,0.057143,0.0,-0.126865,lower_in_reversal,0.126865
uct-10000-self-play,12,leader_recent_4_supply_source_usage_margin,37,35,-0.054054,0.0,0.057143,0.0,-0.126865,lower_in_reversal,0.126865
uct-10000-self-play,12,leader_recent_4_important_site_usage,37,35,2.162162,2.0,1.857143,2.0,0.202186,higher_in_reversal,0.202186
uct-10000-self-play,12,opponent_recent_4_important_site_usage,37,35,2.216216,2.0,1.914286,2.0,0.227761,higher_in_reversal,0.227761
uct-10000-self-play,12,leader_recent_4_important_site_usage_margin,37,35,-0.054054,0.0,-0.057143,0.0,0.00145,higher_in_reversal,0.00145
uct-10000-self-play,12,leader_recent_4_objective_share_margin,37,35,-0.009009,0.0,0.009524,0.0,-0.126865,lower_in_reversal,0.126865
uct-10000-self-play,12,leader_recent_4_all_supply_turn_margin,37,35,0.054054,0.0,-0.028571,0.0,0.20974,higher_in_reversal,0.20974
uct-10000-self-play,12,leader_recent_4_mixed_turn_margin,37,35,-0.027027,0.0,0.171429,0.0,-0.284989,lower_in_reversal,0.284989
uct-10000-self-play,12,leader_recent_4_all_objective_turn_margin,37,35,-0.027027,0.0,-0.142857,0.0,0.210185,higher_in_reversal,0.210185
uct-10000-self-play,12,leader_recent_4_objective_allocation_change_margin,37,35,0.126126,0.0,0.038095,0.0,0.259956,higher_in_reversal,0.259956
uct-10000-self-play,12,leader_recent_4_supply_allocation_change,37,35,-0.198198,-0.333333,-0.12381,-0.0,-0.235069,lower_in_reversal,0.235069
uct-10000-self-play,12,opponent_recent_4_supply_allocation_change,37,35,-0.072072,-0.0,-0.085714,-0.0,0.037595,higher_in_reversal,0.037595
uct-10000-self-play,12,leader_recent_4_supply_allocation_change_margin,37,35,-0.126126,0.0,-0.038095,0.0,-0.259956,lower_in_reversal,0.259956
uct-10000-self-play,12,leader_trend_2_secured_objective_margin,37,35,0.540541,1.0,0.314286,0.0,0.271169,higher_in_reversal,0.271169
uct-10000-self-play,12,leader_trend_2_advantage_objective_margin,37,35,-0.594595,0.0,0.028571,0.0,-0.412327,lower_in_reversal,0.412327
uct-10000-self-play,12,leader_trend_2_objective_piece_margin,37,35,0.162162,0.0,0.085714,0.0,0.113477,higher_in_reversal,0.113477
uct-10000-self-play,12,leader_trend_2_secured_supply_margin,37,35,-0.108108,0.0,-0.257143,0.0,0.264326,higher_in_reversal,0.264326
uct-10000-self-play,12,leader_trend_2_unsecured_control_margin,37,35,-0.054054,0.0,0.171429,0.0,-0.28815,lower_in_reversal,0.28815
uct-10000-self-play,12,leader_trend_2_support_edge_margin,37,35,-1.135135,-1.0,-0.371429,0.0,-0.274333,lower_in_reversal,0.274333
uct-10000-self-play,12,leader_trend_2_usable_support_edges,37,35,-2.162162,-2.0,-0.6,-1.0,-0.639713,lower_in_reversal,0.639713
uct-10000-self-play,12,opponent_trend_2_usable_support_edges,37,35,-1.027027,-1.0,-0.228571,0.0,-0.29548,lower_in_reversal,0.29548
uct-10000-self-play,12,leader_trend_2_important_control_margin,37,35,0.054054,0.0,0.0,0.0,0.075488,higher_in_reversal,0.075488
uct-10000-self-play,12,leader_trend_4_secured_objective_margin,37,35,0.513514,0.0,0.742857,1.0,-0.261291,lower_in_reversal,0.261291
uct-10000-self-play,12,leader_trend_4_advantage_objective_margin,37,35,-0.513514,0.0,-0.657143,-1.0,0.086026,higher_in_reversal,0.086026
uct-10000-self-play,12,leader_trend_4_objective_piece_margin,37,35,-0.054054,0.0,0.057143,0.0,-0.126865,lower_in_reversal,0.126865
uct-10000-self-play,12,leader_trend_4_secured_supply_margin,37,35,-0.054054,0.0,-0.342857,0.0,0.289263,higher_in_reversal,0.289263
uct-10000-self-play,12,leader_trend_4_unsecured_control_margin,37,35,0.108108,0.0,0.285714,0.0,-0.143848,lower_in_reversal,0.143848
uct-10000-self-play,12,leader_trend_4_support_edge_margin,37,35,-0.702703,-1.0,-0.8,-2.0,0.0257,higher_in_reversal,0.0257
uct-10000-self-play,12,leader_trend_4_usable_support_edges,37,35,-1.72973,-3.0,-0.657143,-1.0,-0.301623,lower_in_reversal,0.301623
