"board","search_level","censor_mode","metric","games","value","ci_low","ci_high","primary"
"6x6","uct-0100","0.2","selectively_abandoned_rate","50","0.025556","0.011667","0.040278","false"
"6x6","uct-0500","turns4","final_band_survival_rate","50","0.961865","0.946032","0.976111","false"
"6x6","uct-0500","turns4","mechanically_closed_rate","50","0.000000","0.000000","0.000000","false"
"6x6","uct-0500","turns4","resolved_or_settled_rate","50","0.748929","0.712262","0.785040","false"
"6x6","uct-0500","turns4","end_censored_rate","50","0.129206","0.097936","0.160952","false"
"6x6","uct-0500","turns4","selectively_abandoned_rate","50","0.121865","0.092143","0.151151","false"
"6x6","uct-0500","0.1","final_band_survival_rate","50","0.961865","0.946310","0.976032","false"
"6x6","uct-0500","0.1","mechanically_closed_rate","50","0.000000","0.000000","0.000000","false"
"6x6","uct-0500","0.1","resolved_or_settled_rate","50","0.748929","0.712143","0.783810","false"
"6x6","uct-0500","0.1","end_censored_rate","50","0.158968","0.127738","0.190357","false"
"6x6","uct-0500","0.1","selectively_abandoned_rate","50","0.092103","0.064881","0.121190","false"
"6x6","uct-0500","0.2","final_band_survival_rate","50","0.961865","0.945317","0.976667","false"
"6x6","uct-0500","0.2","mechanically_closed_rate","50","0.000000","0.000000","0.000000","false"
"6x6","uct-0500","0.2","resolved_or_settled_rate","50","0.748929","0.712937","0.784445","false"
"6x6","uct-0500","0.2","end_censored_rate","50","0.225238","0.188055","0.263849","false"
"6x6","uct-0500","0.2","selectively_abandoned_rate","50","0.025833","0.013889","0.040000","false"
"6x6","uct-1000","turns4","final_band_survival_rate","50","0.945437","0.922222","0.965476","true"
"6x6","uct-1000","turns4","mechanically_closed_rate","50","0.000000","0.000000","0.000000","true"
"6x6","uct-1000","turns4","resolved_or_settled_rate","50","0.765952","0.724683","0.807897","true"
"6x6","uct-1000","turns4","end_censored_rate","50","0.117698","0.088690","0.148809","true"
"6x6","uct-1000","turns4","selectively_abandoned_rate","50","0.116349","0.087897","0.145317","true"
"6x6","uct-1000","0.1","final_band_survival_rate","50","0.945437","0.924008","0.965595","false"
"6x6","uct-1000","0.1","mechanically_closed_rate","50","0.000000","0.000000","0.000000","false"
"6x6","uct-1000","0.1","resolved_or_settled_rate","50","0.765952","0.724286","0.806389","false"
"6x6","uct-1000","0.1","end_censored_rate","50","0.146309","0.112103","0.182698","false"
"6x6","uct-1000","0.1","selectively_abandoned_rate","50","0.087738","0.061349","0.116270","false"
"6x6","uct-1000","0.2","final_band_survival_rate","50","0.945437","0.922738","0.965675","false"
"6x6","uct-1000","0.2","mechanically_closed_rate","50","0.000000","0.000000","0.000000","false"
"6x6","uct-1000","0.2","resolved_or_settled_rate","50","0.765952","0.724087","0.806032","false"
"6x6","uct-1000","0.2","end_censored_rate","50","0.200079","0.161587","0.243809","false"
"6x6","uct-1000","0.2","selectively_abandoned_rate","50","0.033968","0.017024","0.052936","false"
