"board","experiment_id","search_level","game_index","censor_mode","cohort_regions","final_band_survival_rate","mechanically_closed_rate","resolved_or_settled_rate","end_censored_rate","selectively_abandoned_rate"
"3x3","3x3-seeded-random","seeded-random","60","turns4","6","1.000000","0.000000","0.333333","0.666667","0.000000"
"3x3","3x3-seeded-random","seeded-random","60","0.1","6","1.000000","0.000000","0.333333","0.166667","0.500000"
"3x3","3x3-seeded-random","seeded-random","60","0.2","6","1.000000","0.000000","0.333333","0.666667","0.000000"
"3x3","3x3-seeded-random","seeded-random","61","turns4","3","1.000000","0.000000","0.666667","0.333333","0.000000"
"3x3","3x3-seeded-random","seeded-random","61","0.1","3","1.000000","0.000000","0.666667","0.333333","0.000000"
"3x3","3x3-seeded-random","seeded-random","61","0.2","3","1.000000","0.000000","0.666667","0.333333","0.000000"
"3x3","3x3-seeded-random","seeded-random","62","turns4","6","0.833333","0.000000","0.500000","0.333333","0.166667"
"3x3","3x3-seeded-random","seeded-random","62","0.1","6","0.833333","0.000000","0.500000","0.166667","0.333333"
"3x3","3x3-seeded-random","seeded-random","62","0.2","6","0.833333","0.000000","0.500000","0.333333","0.166667"
"3x3","3x3-seeded-random","seeded-random","63","turns4","5","1.000000","0.000000","0.600000","0.400000","0.000000"
"3x3","3x3-seeded-random","seeded-random","63","0.1","5","1.000000","0.000000","0.600000","0.000000","0.400000"
"3x3","3x3-seeded-random","seeded-random","63","0.2","5","1.000000","0.000000","0.600000","0.400000","0.000000"
"3x3","3x3-seeded-random","seeded-random","64","turns4","6","1.000000","0.000000","0.500000","0.500000","0.000000"
"3x3","3x3-seeded-random","seeded-random","64","0.1","6","1.000000","0.000000","0.500000","0.166667","0.333333"
"3x3","3x3-seeded-random","seeded-random","64","0.2","6","1.000000","0.000000","0.500000","0.500000","0.000000"
"3x3","3x3-seeded-random","seeded-random","65","turns4","5","1.000000","0.000000","1.000000","0.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","65","0.1","5","1.000000","0.000000","1.000000","0.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","65","0.2","5","1.000000","0.000000","1.000000","0.000000","0.000000"
"3x3","3x3-seeded-random","seeded-random","66","turns4","6","0.833333","0.000000","0.333333","0.500000","0.166667"
"3x3","3x3-seeded-random","seeded-random","66","0.1","6","0.833333","0.000000","0.333333","0.333333","0.333333"
"3x3","3x3-seeded-random","seeded-random","66","0.2","6","0.833333","0.000000","0.333333","0.500000","0.166667"
"3x3","3x3-seeded-random","seeded-random","67","turns4","8","0.875000","0.000000","0.375000","0.500000","0.125000"
"3x3","3x3-seeded-random","seeded-random","67","0.1","8","0.875000","0.000000","0.375000","0.125000","0.500000"
"3x3","3x3-seeded-random","seeded-random","67","0.2","8","0.875000","0.000000","0.375000","0.500000","0.125000"
"3x3","3x3-seeded-random","seeded-random","68","turns4","6","0.833333","0.166667","0.500000","0.333333","0.000000"
"3x3","3x3-seeded-random","seeded-random","68","0.1","6","0.833333","0.166667","0.500000","0.166667","0.166667"
"3x3","3x3-seeded-random","seeded-random","68","0.2","6","0.833333","0.166667","0.500000","0.333333","0.000000"
"3x3","3x3-seeded-random","seeded-random","69","turns4","7","1.000000","0.000000","0.571429","0.428571","0.000000"
