"board","experiment_id","search_level","game_index","band","mean_active_fronts","mean_dormant_fronts","mean_backlog","multi_active_turn_rate","multi_unattended_turn_rate","decline_from_game_peak","placement_entropy","opportunity_entropy","entropy_gap","placement_hhi","opportunity_hhi","hhi_gap","placement_largest_share","opportunity_largest_share","largest_share_gap","placement_top_two_share","opportunity_top_two_share","top_two_share_gap","placement_regions","opportunity_regions"
"3x3","3x3-seeded-random","seeded-random","24","4","4.600000","1.200000","2.400000","1.000000","0.800000","2.400000","0.788325","0.954932","-0.166607","0.208889","0.135296","0.073593","0.333333","0.233645","0.099688","0.533333","0.373832","0.159502","7","9"
"3x3","3x3-seeded-random","seeded-random","25","1","1.000000","0.000000","0.000000","0.250000","0.000000","6.000000","0.720572","0.945497","-0.224925","0.250000","0.140517","0.109483","0.416667","0.246377","0.170290","0.583333","0.376812","0.206522","6","9"
"3x3","3x3-seeded-random","seeded-random","25","2","2.400000","1.000000","1.800000","1.000000","0.800000","4.600000","0.804201","0.963192","-0.158992","0.200000","0.129200","0.070800","0.333333","0.210000","0.123333","0.533333","0.340000","0.193333","7","9"
"3x3","3x3-seeded-random","seeded-random","25","3","3.250000","1.000000","1.500000","1.000000","0.500000","3.750000","0.900775","0.983800","-0.083025","0.152778","0.119582","0.033196","0.250000","0.181818","0.068182","0.416667","0.311688","0.104978","8","9"
"3x3","3x3-seeded-random","seeded-random","25","4","5.400000","1.600000","3.000000","1.000000","1.000000","1.600000","0.906301","0.978042","-0.071742","0.146667","0.122586","0.024081","0.200000","0.191011","0.008989","0.400000","0.337079","0.062921","8","9"
"3x3","3x3-seeded-random","seeded-random","26","1","1.750000","0.500000","1.000000","0.750000","0.500000","5.250000","0.868042","0.968076","-0.100034","0.152778","0.129388","0.023390","0.166667","0.228571","-0.061905","0.333333","0.342857","-0.009524","7","9"
"3x3","3x3-seeded-random","seeded-random","26","2","3.600000","1.000000","2.000000","1.000000","0.800000","3.400000","0.864239","0.971881","-0.107642","0.155556","0.126561","0.028994","0.200000","0.214953","-0.014953","0.400000","0.336449","0.063551","7","9"
"3x3","3x3-seeded-random","seeded-random","26","3","5.250000","1.250000","2.750000","1.000000","1.000000","1.750000","0.868042","0.948901","-0.080858","0.180556","0.136054","0.044501","0.333333","0.226190","0.107143","0.500000","0.369048","0.130952","8","9"
"3x3","3x3-seeded-random","seeded-random","26","4","5.800000","1.600000","3.400000","1.000000","1.000000","1.200000","0.735953","0.938949","-0.202997","0.226667","0.141484","0.085183","0.333333","0.242718","0.090615","0.600000","0.378641","0.221359","6","9"
"3x3","3x3-seeded-random","seeded-random","27","1","1.500000","0.250000","0.750000","0.500000","0.250000","4.500000","0.762887","0.952633","-0.189746","0.208333","0.136048","0.072285","0.333333","0.232877","0.100457","0.500000","0.369863","0.130137","6","9"
"3x3","3x3-seeded-random","seeded-random","27","2","4.400000","1.000000","2.200000","1.000000","0.600000","1.600000","0.804201","0.966100","-0.161900","0.200000","0.129424","0.070576","0.333333","0.219298","0.114035","0.533333","0.350877","0.182456","7","9"
"3x3","3x3-seeded-random","seeded-random","27","3","5.500000","1.750000","3.000000","1.000000","1.000000","0.500000","0.743042","0.962316","-0.219273","0.222222","0.131023","0.091199","0.333333","0.219780","0.113553","0.583333","0.351648","0.231685","6","9"
