"board","search_level","band","metric","games","value","ci_low","ci_high","primary"
"3x3","uct-0500","1","top_two_share_gap","100","0.192273","0.173535","0.211487","false"
"3x3","uct-0500","1","placement_regions","100","5.820000","5.630000","6.020000","false"
"3x3","uct-0500","1","opportunity_regions","100","9.000000","9.000000","9.000000","false"
"3x3","uct-0500","2","mean_active_fronts","100","3.274000","3.100000","3.464000","false"
"3x3","uct-0500","2","mean_dormant_fronts","100","0.780000","0.706000","0.858000","false"
"3x3","uct-0500","2","mean_backlog","100","1.664000","1.550000","1.786000","false"
"3x3","uct-0500","2","multi_active_turn_rate","100","0.944000","0.914000","0.970000","false"
"3x3","uct-0500","2","multi_unattended_turn_rate","100","0.540000","0.474000","0.604000","false"
"3x3","uct-0500","2","decline_from_game_peak","100","1.836000","1.638000","2.044000","false"
"3x3","uct-0500","2","placement_entropy","100","0.800491","0.782627","0.817848","false"
"3x3","uct-0500","2","opportunity_entropy","100","0.966836","0.965262","0.968325","false"
"3x3","uct-0500","2","entropy_gap","100","-0.166345","-0.183166","-0.148073","false"
"3x3","uct-0500","2","placement_hhi","100","0.194756","0.186133","0.203289","false"
"3x3","uct-0500","2","opportunity_hhi","100","0.128654","0.127874","0.129486","false"
"3x3","uct-0500","2","hhi_gap","100","0.066101","0.058139","0.075061","false"
"3x3","uct-0500","2","placement_largest_share","100","0.282000","0.270000","0.294667","false"
"3x3","uct-0500","2","opportunity_largest_share","100","0.213095","0.210436","0.215814","false"
"3x3","uct-0500","2","largest_share_gap","100","0.068905","0.055486","0.082255","false"
"3x3","uct-0500","2","placement_top_two_share","100","0.492000","0.474667","0.510667","false"
"3x3","uct-0500","2","opportunity_top_two_share","100","0.347811","0.344843","0.350854","false"
"3x3","uct-0500","2","top_two_share_gap","100","0.144189","0.126762","0.163052","false"
"3x3","uct-0500","2","placement_regions","100","6.700000","6.470000","6.950000","false"
"3x3","uct-0500","2","opportunity_regions","100","9.000000","9.000000","9.000000","false"
"3x3","uct-0500","3","mean_active_fronts","100","3.552500","3.377500","3.730000","false"
"3x3","uct-0500","3","mean_dormant_fronts","100","0.872500","0.785000","0.952500","false"
"3x3","uct-0500","3","mean_backlog","100","1.907500","1.782500","2.027500","false"
"3x3","uct-0500","3","multi_active_turn_rate","100","0.972500","0.950000","0.990000","false"
"3x3","uct-0500","3","multi_unattended_turn_rate","100","0.672500","0.615000","0.727500","false"
"3x3","uct-0500","3","decline_from_game_peak","100","1.557500","1.382500","1.725000","false"
"3x3","uct-0500","3","placement_entropy","100","0.781761","0.766577","0.797524","false"
"3x3","uct-0500","3","opportunity_entropy","100","0.958855","0.956290","0.961231","false"
"3x3","uct-0500","3","entropy_gap","100","-0.177094","-0.191746","-0.162030","false"
"3x3","uct-0500","3","placement_hhi","100","0.200972","0.192778","0.209444","false"
"3x3","uct-0500","3","opportunity_hhi","100","0.132180","0.131023","0.133356","false"
"3x3","uct-0500","3","hhi_gap","100","0.068793","0.061232","0.077185","false"
