"board","search_level","turn_number","metric","games","value","ci_low","ci_high","primary"
"4x4","seeded-random","4","active_fronts","100","2.330000","2.170000","2.510000","false"
"4x4","seeded-random","4","dormant_fronts","100","0.360000","0.260000","0.470000","false"
"4x4","seeded-random","4","backlog","100","0.930000","0.790000","1.080000","false"
"4x4","seeded-random","4","decline_from_game_peak","100","4.780000","4.570000","4.990000","false"
"4x4","seeded-random","5","active_fronts","100","2.860000","2.670000","3.060000","false"
"4x4","seeded-random","5","dormant_fronts","100","0.680000","0.550000","0.810000","false"
"4x4","seeded-random","5","backlog","100","1.610000","1.430000","1.780000","false"
"4x4","seeded-random","5","decline_from_game_peak","100","4.250000","4.030000","4.470000","false"
"4x4","seeded-random","6","active_fronts","100","3.410000","3.180000","3.660000","false"
"4x4","seeded-random","6","dormant_fronts","100","0.870000","0.710000","1.020000","false"
"4x4","seeded-random","6","backlog","100","1.760000","1.560000","1.960000","false"
"4x4","seeded-random","6","decline_from_game_peak","100","3.700000","3.440000","3.960000","false"
"4x4","seeded-random","7","active_fronts","100","3.770000","3.550000","3.990000","false"
"4x4","seeded-random","7","dormant_fronts","100","1.000000","0.850000","1.160000","false"
"4x4","seeded-random","7","backlog","100","2.090000","1.890000","2.280000","false"
"4x4","seeded-random","7","decline_from_game_peak","100","3.340000","3.110000","3.590000","false"
"4x4","seeded-random","8","active_fronts","100","4.100000","3.860000","4.340000","false"
"4x4","seeded-random","8","dormant_fronts","100","1.120000","0.960000","1.280000","false"
"4x4","seeded-random","8","backlog","100","2.270000","2.080000","2.450000","false"
"4x4","seeded-random","8","decline_from_game_peak","100","3.010000","2.770000","3.250000","false"
"4x4","seeded-random","9","active_fronts","100","4.280000","4.050000","4.510000","false"
"4x4","seeded-random","9","dormant_fronts","100","1.280000","1.100000","1.450000","false"
"4x4","seeded-random","9","backlog","100","2.530000","2.330000","2.740000","false"
"4x4","seeded-random","9","decline_from_game_peak","100","2.830000","2.590000","3.070000","false"
"4x4","seeded-random","10","active_fronts","100","4.470000","4.220000","4.710000","false"
"4x4","seeded-random","10","dormant_fronts","100","1.270000","1.120000","1.420000","false"
"4x4","seeded-random","10","backlog","100","2.470000","2.280000","2.640000","false"
"4x4","seeded-random","10","decline_from_game_peak","100","2.640000","2.400000","2.900000","false"
"4x4","seeded-random","11","active_fronts","100","4.660000","4.400000","4.910000","false"
"4x4","seeded-random","11","dormant_fronts","100","1.330000","1.150000","1.510000","false"
"4x4","seeded-random","11","backlog","100","2.730000","2.500000","2.950000","false"
"4x4","seeded-random","11","decline_from_game_peak","100","2.450000","2.230000","2.690000","false"
"4x4","seeded-random","12","active_fronts","100","4.840000","4.610000","5.080000","false"
"4x4","seeded-random","12","dormant_fronts","100","1.420000","1.260000","1.590000","false"
"4x4","seeded-random","12","backlog","100","2.700000","2.490000","2.910000","false"
"4x4","seeded-random","12","decline_from_game_peak","100","2.270000","2.040000","2.490000","false"
"4x4","seeded-random","13","active_fronts","100","5.020000","4.780000","5.260000","false"
"4x4","seeded-random","13","dormant_fronts","100","1.490000","1.320000","1.660000","false"
"4x4","seeded-random","13","backlog","100","2.960000","2.730000","3.190000","false"
"4x4","seeded-random","13","decline_from_game_peak","100","2.090000","1.860000","2.320000","false"
"4x4","seeded-random","14","active_fronts","100","5.260000","5.030000","5.500000","false"
"4x4","seeded-random","14","dormant_fronts","100","1.590000","1.430000","1.760000","false"
"4x4","seeded-random","14","backlog","100","2.920000","2.730000","3.120000","false"
"4x4","seeded-random","14","decline_from_game_peak","100","1.850000","1.640000","2.060000","false"
"4x4","seeded-random","15","active_fronts","100","5.220000","4.990000","5.430000","false"
