"board","experiment_id","game_index","turn_number","progress","mover","allocation_pattern","regions_used","supply_placements","objective_placements","mixed_layers"
"4x4","seeded-random-self-play","53","6","0.250000","2","2+1","2","0","3","false"
"4x4","seeded-random-self-play","53","7","0.291667","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","53","8","0.333333","2","2+1","2","1","2","true"
"4x4","seeded-random-self-play","53","9","0.375000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","53","10","0.416667","2","2+1","2","3","0","false"
"4x4","seeded-random-self-play","53","11","0.458333","1","2+1","2","1","2","true"
"4x4","seeded-random-self-play","53","12","0.500000","2","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","53","13","0.541667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","53","14","0.583333","2","2+1","2","3","0","false"
"4x4","seeded-random-self-play","53","15","0.625000","1","1+1+1","3","1","2","true"
"4x4","seeded-random-self-play","53","16","0.666667","2","2+1","2","2","1","true"
"4x4","seeded-random-self-play","53","17","0.708333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","53","18","0.750000","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","53","19","0.791667","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","53","20","0.833333","2","1+1+1","3","0","3","false"
"4x4","seeded-random-self-play","53","21","0.875000","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","53","22","0.916667","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","53","23","0.958333","1","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","53","24","1.000000","2","1+1+1","3","2","1","true"
"4x4","seeded-random-self-play","54","1","0.041667","1","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","54","2","0.083333","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","54","3","0.125000","1","2+1","2","2","1","true"
"4x4","seeded-random-self-play","54","4","0.166667","2","1+1+1","3","3","0","false"
"4x4","seeded-random-self-play","54","5","0.208333","1","2+1","2","3","0","false"
