"board","experiment_id","game_index","checkpoint","turn_number","cumulative_placements","supply_share","secured_supply","secured_objectives","recent_normalized_entropy","recent_largest_region_share","recent_hhi","recent_region_coverage"
"6x6","6x6-seeded-random","46","0.9","44","132","0.560606","3","3","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","47","0.25","12","36","0.833333","0","0","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","47","0.5","24","72","0.736111","0","0","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","47","0.75","36","108","0.657407","2","1","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","47","0.9","44","132","0.643939","6","3","0.795620","0.333333","0.208333","0.777778"
"6x6","6x6-seeded-random","48","0.25","12","36","0.833333","1","0","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","48","0.5","24","72","0.777778","2","0","0.667994","0.416667","0.263889","0.555556"
"6x6","6x6-seeded-random","48","0.75","36","108","0.675926","3","1","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","48","0.9","44","132","0.643939","5","2","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","49","0.25","12","36","0.722222","0","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","49","0.5","24","72","0.680556","1","0","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","49","0.75","36","108","0.657407","2","2","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","49","0.9","44","132","0.628788","5","4","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","50","0.25","12","36","0.666667","0","0","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","50","0.5","24","72","0.638889","2","0","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","50","0.75","36","108","0.629630","3","3","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","50","0.9","44","132","0.606061","5","4","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","51","0.25","12","36","0.833333","1","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","51","0.5","24","72","0.791667","2","0","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","51","0.75","36","108","0.722222","6","3","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","51","0.9","44","132","0.689394","8","3","0.848197","0.250000","0.166667","0.777778"
