"board","experiment_id","game_index","window_first_turn","window_last_turn","window_turns","placements","normalized_entropy","largest_region_share","hhi","region_coverage"
"6x6","6x6-seeded-random","5","20","23","4","12","0.795620","0.333333","0.208333","0.777778"
"6x6","6x6-seeded-random","5","21","24","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","5","22","25","4","12","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-seeded-random","5","23","26","4","12","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","5","24","27","4","12","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","5","25","28","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","5","26","29","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","5","27","30","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","5","28","31","4","12","0.755930","0.250000","0.208333","0.666667"
"6x6","6x6-seeded-random","5","29","32","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","5","30","33","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","5","31","34","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","5","32","35","4","12","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","5","33","36","4","12","0.595572","0.416667","0.291667","0.444444"
"6x6","6x6-seeded-random","5","34","37","4","12","0.670620","0.333333","0.250000","0.555556"
"6x6","6x6-seeded-random","5","35","38","4","12","0.755930","0.250000","0.208333","0.666667"
"6x6","6x6-seeded-random","5","36","39","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","5","37","40","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","5","38","41","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","5","39","42","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","5","40","43","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","5","41","44","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","5","42","45","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","5","43","46","4","12","0.670620","0.500000","0.305556","0.666667"
"6x6","6x6-seeded-random","5","44","47","4","12","0.720572","0.416667","0.250000","0.666667"
"6x6","6x6-seeded-random","5","45","48","4","12","0.773149","0.416667","0.236111","0.777778"
"6x6","6x6-seeded-random","6","1","4","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","6","2","5","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","6","3","6","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","6","4","7","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","6","5","8","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","6","6","9","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","6","7","10","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","6","8","11","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","6","9","12","4","12","0.868042","0.333333","0.180556","0.888889"
"6x6","6x6-seeded-random","6","10","13","4","12","0.953352","0.250000","0.138889","1.000000"
"6x6","6x6-seeded-random","6","11","14","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","6","12","15","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","6","13","16","4","12","0.648149","0.416667","0.277778","0.555556"
"6x6","6x6-seeded-random","6","14","17","4","12","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","6","15","18","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","6","16","19","4","12","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","6","17","20","4","12","0.795620","0.250000","0.180556","0.666667"
