"board","experiment_id","search_level","game_index","supply_share","objective_share","secured_supply","secured_objectives","secured_supply_events","secured_supply_later_use_rate","mean_regions_used"
"7x7","7x7-uct-0500","uct-0500","7","0.5347222222222222","0.4652777777777778","4","14","4","0.5","2.7083333333333335"
"7x7","7x7-uct-0500","uct-0500","8","0.4861111111111111","0.5138888888888888","3","17","3","0.6666666666666666","2.5833333333333335"
"7x7","7x7-uct-0500","uct-0500","9","0.4375","0.5625","1","18","1","0","2.6666666666666665"
"7x7","7x7-uct-0500","uct-0500","10","0.5069444444444444","0.4930555555555556","2","16","2","0","2.625"
"7x7","7x7-uct-0500","uct-0500","11","0.4513888888888889","0.5486111111111112","1","20","1","1","2.7708333333333335"
"7x7","7x7-uct-0500","uct-0500","12","0.4652777777777778","0.5347222222222222","1","20","1","0","2.6666666666666665"
"7x7","7x7-uct-0500","uct-0500","13","0.4861111111111111","0.5138888888888888","3","20","3","0","2.5833333333333335"
"7x7","7x7-uct-0500","uct-0500","14","0.4861111111111111","0.5138888888888888","2","19","2","0.5","2.6041666666666665"
"7x7","7x7-uct-0500","uct-0500","15","0.5138888888888888","0.4861111111111111","1","19","1","0","2.5833333333333335"
"7x7","7x7-uct-0500","uct-0500","16","0.4375","0.5625","0","20","0","","2.6458333333333335"
"7x7","7x7-uct-0500","uct-0500","17","0.4375","0.5625","3","22","3","0.3333333333333333","2.5416666666666665"
"7x7","7x7-uct-0500","uct-0500","18","0.5","0.5","3","16","3","1","2.7291666666666665"
"7x7","7x7-uct-0500","uct-0500","19","0.4722222222222222","0.5277777777777778","4","20","4","0","2.5625"
"7x7","7x7-uct-0500","uct-0500","20","0.5069444444444444","0.4930555555555556","3","17","3","0.6666666666666666","2.75"
"7x7","7x7-uct-0500","uct-0500","21","0.4444444444444444","0.5555555555555556","1","19","1","0","2.6666666666666665"
"7x7","7x7-uct-0500","uct-0500","22","0.5208333333333334","0.4791666666666667","2","17","2","1","2.625"
"7x7","7x7-uct-0500","uct-0500","23","0.4583333333333333","0.5416666666666666","2","20","2","0.5","2.6041666666666665"
"7x7","7x7-uct-0500","uct-0500","24","0.4097222222222222","0.5902777777777778","0","20","0","","2.7083333333333335"
"7x7","7x7-uct-0500","uct-0500","25","0.4861111111111111","0.5138888888888888","1","18","1","1","2.5"
"7x7","7x7-uct-0500","uct-0500","26","0.4236111111111111","0.5763888888888888","1","19","1","0","2.5833333333333335"
"7x7","7x7-uct-0500","uct-0500","27","0.4652777777777778","0.5347222222222222","0","21","0","","2.7291666666666665"
"7x7","7x7-uct-0500","uct-0500","28","0.4791666666666667","0.5208333333333334","1","16","1","1","2.5625"
"7x7","7x7-uct-0500","uct-0500","29","0.4444444444444444","0.5555555555555556","1","22","1","1","2.6041666666666665"
"7x7","7x7-uct-0500","uct-0500","30","0.5555555555555556","0.4444444444444444","5","16","5","0.4","2.5208333333333335"
"7x7","7x7-uct-0500","uct-0500","31","0.4583333333333333","0.5416666666666666","1","21","1","0","2.625"
