"board","experiment_id","search_level","game_index","turn_number","progress","active_fronts","backlog_size","dormant_k2","dominant_focus"
"7x7","7x7-uct-1000","uct-1000","11","31","0.6458333333333334","6","3","1",""
"7x7","7x7-uct-1000","uct-1000","11","32","0.6666666666666666","6","5","2","MM"
"7x7","7x7-uct-1000","uct-1000","11","33","0.6875","7","4","3",""
"7x7","7x7-uct-1000","uct-1000","11","34","0.7083333333333334","7","4","2",""
"7x7","7x7-uct-1000","uct-1000","11","35","0.7291666666666666","6","3","1",""
"7x7","7x7-uct-1000","uct-1000","11","36","0.75","6","4","2","LL"
"7x7","7x7-uct-1000","uct-1000","11","37","0.7708333333333334","5","2","1",""
"7x7","7x7-uct-1000","uct-1000","11","38","0.7916666666666666","6","3","0",""
"7x7","7x7-uct-1000","uct-1000","11","39","0.8125","7","4","2",""
"7x7","7x7-uct-1000","uct-1000","11","40","0.8333333333333334","7","5","3","LL"
"7x7","7x7-uct-1000","uct-1000","11","41","0.8541666666666666","6","3","1",""
"7x7","7x7-uct-1000","uct-1000","11","42","0.875","7","5","2","LM"
"7x7","7x7-uct-1000","uct-1000","11","43","0.8958333333333334","8","6","4","LH"
"7x7","7x7-uct-1000","uct-1000","11","44","0.9166666666666666","7","5","3","MM"
"7x7","7x7-uct-1000","uct-1000","11","45","0.9375","5","3","1","LH"
"7x7","7x7-uct-1000","uct-1000","11","46","0.9583333333333334","7","4","2",""
"7x7","7x7-uct-1000","uct-1000","11","47","0.9791666666666666","6","3","1",""
"7x7","7x7-uct-1000","uct-1000","11","48","1","8","5","2",""
"7x7","7x7-uct-1000","uct-1000","12","1","0.020833333333333332","0","0","0",""
"7x7","7x7-uct-1000","uct-1000","12","2","0.041666666666666664","1","0","0",""
"7x7","7x7-uct-1000","uct-1000","12","3","0.0625","1","1","0",""
"7x7","7x7-uct-1000","uct-1000","12","4","0.08333333333333333","2","0","0",""
"7x7","7x7-uct-1000","uct-1000","12","5","0.10416666666666667","3","2","0",""
"7x7","7x7-uct-1000","uct-1000","12","6","0.125","3","2","2",""
"7x7","7x7-uct-1000","uct-1000","12","7","0.14583333333333334","3","2","1","MM"
"7x7","7x7-uct-1000","uct-1000","12","8","0.16666666666666666","2","2","1",""
"7x7","7x7-uct-1000","uct-1000","12","9","0.1875","4","1","1",""
"7x7","7x7-uct-1000","uct-1000","12","10","0.20833333333333334","3","1","0","HM"
"7x7","7x7-uct-1000","uct-1000","12","11","0.22916666666666666","4","3","1","HL"
"7x7","7x7-uct-1000","uct-1000","12","12","0.25","4","2","1","HM"
"7x7","7x7-uct-1000","uct-1000","12","13","0.2708333333333333","4","1","1",""
