"source_issue","board","experiment_id","search_level","iteration_limit","game_index","seed","trial_file","trial_sha256"
"73","7x7","7x7-uct-0100","uct-0100","100","10","730109","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0010.trl","0f43a19ed48aedd4c3a2969b50dbfa9e8a604a0ba0efadb7c4cd04948ff8b6f4"
"73","7x7","7x7-uct-0100","uct-0100","100","11","730110","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0011.trl","53e9827b788aa4b89a9ff2d678f6c7513044ecd310715f9868f00ee0b9871fa8"
"73","7x7","7x7-uct-0100","uct-0100","100","12","730111","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0012.trl","6cc6a3240ea7a17085a1d3cbf42b602047fb9500d8989ab76dc6d5fc0f3fd0e1"
"73","7x7","7x7-uct-0100","uct-0100","100","13","730112","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0013.trl","b39ed432cc4460f8cb50123036274965b89f3f4ca2002c349c65e45b6276b884"
"73","7x7","7x7-uct-0100","uct-0100","100","14","730113","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0014.trl","61a185bb875ced92c5a6d8680b4bc3ec43039a11dbe7dc502f264467b1322c2c"
"73","7x7","7x7-uct-0100","uct-0100","100","15","730114","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0015.trl","0b77e0ccf1c384d1dfa8225ce96fff534cdede8b252bd1e2fa4dfe375210633b"
"73","7x7","7x7-uct-0100","uct-0100","100","16","730115","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0016.trl","01e9bde008e1b14e34e917f12dc083ee13e6efdcacd9bd373c3aea6ad0ffbdd4"
"73","7x7","7x7-uct-0100","uct-0100","100","17","730116","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0017.trl","b4c63b9192d28f0f68dc0ef9af852e1759c06e39e705ab689e0709315c332076"
"73","7x7","7x7-uct-0100","uct-0100","100","18","730117","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0018.trl","9f9353b464997d17dd973f66f0fc6d8ce83fb95dd3bf6dea77bf842633dc46ff"
"73","7x7","7x7-uct-0100","uct-0100","100","19","730118","experiments/issue-73/results/trials/7x7-uct-0100/7x7-uct-0100-0019.trl","b919ea49798ecf14ba759d2dd9a259683ea0f925935821dee73216f01daf678e"
