"domain","scope","board","search_level","metric","games","mean"
"late-game","band-4","3x3","uct-0100","mean_backlog","100","2.550000"
"late-game","band-4","3x3","uct-0100","entropy_gap","100","-0.126147"
"late-game","band-4","3x3","uct-0100","hhi_gap","100","0.049301"
"late-game","band-4","3x3","uct-0500","mean_active_fronts","100","3.840000"
"late-game","band-4","3x3","uct-0500","mean_backlog","100","1.992000"
"late-game","band-4","3x3","uct-0500","entropy_gap","100","-0.162538"
"late-game","band-4","3x3","uct-0500","hhi_gap","100","0.069782"
"late-game","band-4","3x3","uct-1000","mean_active_fronts","100","3.384000"
"late-game","band-4","3x3","uct-1000","mean_backlog","100","1.590000"
"late-game","band-4","3x3","uct-1000","entropy_gap","100","-0.163699"
"late-game","band-4","3x3","uct-1000","hhi_gap","100","0.072166"
"late-game","band-4","4x4","seeded-random","mean_active_fronts","100","5.948333"
"late-game","band-4","4x4","seeded-random","mean_backlog","100","3.540000"
"late-game","band-4","4x4","seeded-random","entropy_gap","100","-0.102996"
"late-game","band-4","4x4","seeded-random","hhi_gap","100","0.041934"
"late-game","band-4","4x4","uct-0100","mean_active_fronts","100","5.361667"
"late-game","band-4","4x4","uct-0100","mean_backlog","100","3.185000"
"late-game","band-4","4x4","uct-0100","entropy_gap","100","-0.117023"
"late-game","band-4","4x4","uct-0100","hhi_gap","100","0.047435"
"late-game","band-4","4x4","uct-0500","mean_active_fronts","100","4.671667"
"late-game","band-4","4x4","uct-0500","mean_backlog","100","2.575000"
"late-game","band-4","4x4","uct-0500","entropy_gap","100","-0.151023"
"late-game","band-4","4x4","uct-0500","hhi_gap","100","0.064808"
"late-game","band-4","4x4","uct-1000","mean_active_fronts","100","4.315000"
"late-game","band-4","4x4","uct-1000","mean_backlog","100","2.326667"
"late-game","band-4","4x4","uct-1000","entropy_gap","100","-0.155146"
"late-game","band-4","4x4","uct-1000","hhi_gap","100","0.067320"
"late-game","band-4","6x6","seeded-random","mean_active_fronts","100","6.686667"
"late-game","band-4","6x6","seeded-random","mean_backlog","100","4.040833"
"late-game","band-4","6x6","seeded-random","entropy_gap","100","-0.046397"
"late-game","band-4","6x6","seeded-random","hhi_gap","100","0.020428"
"late-game","band-4","6x6","uct-0100","mean_active_fronts","50","6.640000"
"late-game","band-4","6x6","uct-0100","mean_backlog","50","4.018333"
"late-game","band-4","6x6","uct-0100","entropy_gap","50","-0.046593"
"late-game","band-4","6x6","uct-0100","hhi_gap","50","0.020476"
"late-game","band-4","6x6","uct-0500","mean_active_fronts","50","5.853333"
"late-game","band-4","6x6","uct-0500","mean_backlog","50","3.508333"
"late-game","band-4","6x6","uct-0500","entropy_gap","50","-0.057027"
"late-game","band-4","6x6","uct-0500","hhi_gap","50","0.023257"
"late-game","band-4","6x6","uct-1000","mean_active_fronts","50","5.685000"
"late-game","band-4","6x6","uct-1000","mean_backlog","50","3.341667"
"late-game","band-4","6x6","uct-1000","entropy_gap","50","-0.081623"
"late-game","band-4","6x6","uct-1000","hhi_gap","50","0.035563"
"late-game","band-4","7x7","seeded-random","mean_active_fronts","100","6.735833"
"late-game","band-4","7x7","seeded-random","mean_backlog","100","4.087500"
"late-game","band-4","7x7","seeded-random","entropy_gap","100","-0.051582"
"late-game","band-4","7x7","seeded-random","hhi_gap","100","0.023523"
"late-game","band-4","7x7","uct-0100","mean_active_fronts","50","6.813333"
"late-game","band-4","7x7","uct-0100","mean_backlog","50","4.136667"
"late-game","band-4","7x7","uct-0100","entropy_gap","50","-0.062226"
"late-game","band-4","7x7","uct-0100","hhi_gap","50","0.028242"
"late-game","band-4","7x7","uct-0500","mean_active_fronts","50","6.136667"
"late-game","band-4","7x7","uct-0500","mean_backlog","50","3.730000"
"late-game","band-4","7x7","uct-0500","entropy_gap","50","-0.073982"
"late-game","band-4","7x7","uct-0500","hhi_gap","50","0.033115"
"late-game","band-4","7x7","uct-1000","mean_active_fronts","50","5.966667"
"late-game","band-4","7x7","uct-1000","mean_backlog","50","3.565000"
"late-game","band-4","7x7","uct-1000","entropy_gap","50","-0.076901"
"late-game","band-4","7x7","uct-1000","hhi_gap","50","0.037354"
