"board","experiment_id","search_level","game_index","threshold","turns","mean_dormant_active_fronts","dormant_ge2_turn_rate","mean_backlog_size","backlog_ge2_turn_rate","qualifying_departures","revisit_rate_observed","right_censored_rate","mean_revisit_lag","mean_normalized_revisit_lag","revisit_within_four_turns_rate"
"7x7","7x7-seeded-random","seeded-random","76","2","48","1.6666666666666667","0.5416666666666666","3.0833333333333335","0.8541666666666666","46","0.9761904761904762","0.08695652173913043","4.2682926829268295","0.08892276422764225","0.6585365853658537"
"7x7","7x7-seeded-random","seeded-random","76","1","48","3.0833333333333335","0.8541666666666666","3.0833333333333335","0.8541666666666666","68","0.9836065573770492","0.10294117647058823","3.2333333333333334","0.06736111111111114","0.7627118644067796"
"7x7","7x7-seeded-random","seeded-random","76","3","48","0.7083333333333334","0.16666666666666666","3.0833333333333335","0.8541666666666666","34","1","0.058823529411764705","4.90625","0.10221354166666666","0.59375"
"7x7","7x7-seeded-random","seeded-random","77","2","48","1.4791666666666667","0.4583333333333333","2.9583333333333335","0.8333333333333334","41","1","0.12195121951219512","4.5","0.09374999999999999","0.6285714285714286"
"7x7","7x7-seeded-random","seeded-random","77","1","48","2.9583333333333335","0.8333333333333334","2.9583333333333335","0.8333333333333334","71","1","0.08450704225352113","2.9384615384615387","0.06121794871794875","0.7936507936507936"
"7x7","7x7-seeded-random","seeded-random","77","3","48","0.625","0.10416666666666667","2.9583333333333335","0.8333333333333334","30","1","0.1","5.333333333333333","0.1111111111111111","0.5"
"7x7","7x7-seeded-random","seeded-random","78","2","48","1.7083333333333333","0.5416666666666666","3.25","0.8333333333333334","49","1","0.08163265306122448","3.7333333333333334","0.07777777777777775","0.7555555555555555"
"7x7","7x7-seeded-random","seeded-random","78","1","48","3.25","0.8333333333333334","3.25","0.8333333333333334","74","1","0.06756756756756757","2.782608695652174","0.057971014492753624","0.8405797101449275"
"7x7","7x7-seeded-random","seeded-random","78","3","48","0.6875","0.125","3.25","0.8333333333333334","33","1","0.09090909090909091","4.6","0.09583333333333334","0.6333333333333333"
"7x7","7x7-seeded-random","seeded-random","79","2","48","2.0416666666666665","0.6458333333333334","3.7083333333333335","0.8958333333333334","57","1","0.07017543859649122","3.7547169811320753","0.07822327044025155","0.7115384615384616"
"7x7","7x7-seeded-random","seeded-random","79","1","48","3.7083333333333335","0.8958333333333334","3.7083333333333335","0.8958333333333334","80","1","0.075","2.972972972972973","0.06193693693693694","0.7916666666666666"
"7x7","7x7-seeded-random","seeded-random","79","3","48","0.8541666666666666","0.22916666666666666","3.7083333333333335","0.8958333333333334","41","1","0.07317073170731707","4.447368421052632","0.09265350877192984","0.6153846153846154"
"7x7","7x7-seeded-random","seeded-random","80","2","48","1.8333333333333333","0.625","3.375","0.8333333333333334","51","1","0.0784313725490196","4.468085106382978","0.09308510638297872","0.5652173913043478"
"7x7","7x7-seeded-random","seeded-random","80","1","48","3.375","0.8333333333333334","3.375","0.8333333333333334","74","1","0.08108108108108109","3.3970588235294117","0.07077205882352941","0.6923076923076923"
"7x7","7x7-seeded-random","seeded-random","80","3","48","0.7708333333333334","0.1875","3.375","0.8333333333333334","37","1","0.05405405405405406","5.314285714285714","0.11071428571428572","0.42857142857142855"
"7x7","7x7-seeded-random","seeded-random","81","2","48","1.75","0.5833333333333334","3.3958333333333335","0.8958333333333334","52","1","0.057692307692307696","3.795918367346939","0.0790816326530612","0.6808510638297872"
