"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"7x7-p84","7x7-p84-uct-0100","100","1","13","0.232143","3","1","O45","objective","S56","MH"
"7x7-p84","7x7-p84-uct-0100","100","1","14","0.250000","1","2","O44","objective","S55","MM"
"7x7-p84","7x7-p84-uct-0100","100","1","14","0.250000","2","2","S02","supply","","LL"
"7x7-p84","7x7-p84-uct-0100","100","1","14","0.250000","3","2","S10","supply","","LL"
"7x7-p84","7x7-p84-uct-0100","100","1","15","0.267857","1","1","S15","supply","","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","15","0.267857","2","1","S07","supply","","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","15","0.267857","3","1","O66","objective","S76","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","16","0.285714","1","2","S37","supply","","MH"
"7x7-p84","7x7-p84-uct-0100","100","1","16","0.285714","2","2","S73","supply","","HM"
"7x7-p84","7x7-p84-uct-0100","100","1","16","0.285714","3","2","S50","supply","","HL"
"7x7-p84","7x7-p84-uct-0100","100","1","17","0.303571","1","1","O54","objective","S65","HM"
"7x7-p84","7x7-p84-uct-0100","100","1","17","0.303571","2","1","S51","supply","","HL"
"7x7-p84","7x7-p84-uct-0100","100","1","17","0.303571","3","1","S14","supply","","LM"
"7x7-p84","7x7-p84-uct-0100","100","1","18","0.321429","1","2","O33","objective","S44","MM"
"7x7-p84","7x7-p84-uct-0100","100","1","18","0.321429","2","2","S15","supply","","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","18","0.321429","3","2","S76","supply","","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","19","0.339286","1","1","S40","supply","","ML"
"7x7-p84","7x7-p84-uct-0100","100","1","19","0.339286","2","1","O55","objective","S56","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","19","0.339286","3","1","S02","supply","","LL"
"7x7-p84","7x7-p84-uct-0100","100","1","20","0.357143","1","2","O66","objective","S66","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","20","0.357143","2","2","O63","objective","S64","HM"
"7x7-p84","7x7-p84-uct-0100","100","1","20","0.357143","3","2","S62","supply","","HL"
"7x7-p84","7x7-p84-uct-0100","100","1","21","0.375000","1","1","S07","supply","","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","21","0.375000","2","1","S64","supply","","HM"
"7x7-p84","7x7-p84-uct-0100","100","1","21","0.375000","3","1","S32","supply","","ML"
"7x7-p84","7x7-p84-uct-0100","100","1","22","0.392857","1","2","S12","supply","","LL"
"7x7-p84","7x7-p84-uct-0100","100","1","22","0.392857","2","2","O05","objective","S15","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","22","0.392857","3","2","O10","objective","S10","LL"
"7x7-p84","7x7-p84-uct-0100","100","1","23","0.410714","1","1","S10","supply","","LL"
"7x7-p84","7x7-p84-uct-0100","100","1","23","0.410714","2","1","S54","supply","","HM"
"7x7-p84","7x7-p84-uct-0100","100","1","23","0.410714","3","1","S50","supply","","HL"
"7x7-p84","7x7-p84-uct-0100","100","1","24","0.428571","1","2","O04","objective","S15","LM"
"7x7-p84","7x7-p84-uct-0100","100","1","24","0.428571","2","2","S16","supply","","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","24","0.428571","3","2","S42","supply","","ML"
"7x7-p84","7x7-p84-uct-0100","100","1","25","0.446429","1","1","S41","supply","","ML"
"7x7-p84","7x7-p84-uct-0100","100","1","25","0.446429","2","1","O64","objective","S65","HM"
"7x7-p84","7x7-p84-uct-0100","100","1","25","0.446429","3","1","O03","objective","S14","LM"
"7x7-p84","7x7-p84-uct-0100","100","1","26","0.464286","1","2","O61","objective","S71","HL"
"7x7-p84","7x7-p84-uct-0100","100","1","26","0.464286","2","2","O44","objective","S55","MM"
"7x7-p84","7x7-p84-uct-0100","100","1","26","0.464286","3","2","S50","supply","","HL"
"7x7-p84","7x7-p84-uct-0100","100","1","27","0.482143","1","1","O06","objective","S07","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","27","0.482143","2","1","O30","objective","S41","ML"
"7x7-p84","7x7-p84-uct-0100","100","1","27","0.482143","3","1","O66","objective","S77","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","28","0.500000","1","2","S32","supply","","ML"
"7x7-p84","7x7-p84-uct-0100","100","1","28","0.500000","2","2","S27","supply","","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","28","0.500000","3","2","O36","objective","S37","MH"
"7x7-p84","7x7-p84-uct-0100","100","1","29","0.517857","1","1","O13","objective","S14","LM"
"7x7-p84","7x7-p84-uct-0100","100","1","29","0.517857","2","1","S63","supply","","HM"
"7x7-p84","7x7-p84-uct-0100","100","1","29","0.517857","3","1","O56","objective","S56","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","30","0.535714","1","2","S12","supply","","LL"
"7x7-p84","7x7-p84-uct-0100","100","1","30","0.535714","2","2","O61","objective","S71","HL"
"7x7-p84","7x7-p84-uct-0100","100","1","30","0.535714","3","2","O66","objective","S67","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","31","0.553571","1","1","O30","objective","S40","ML"
"7x7-p84","7x7-p84-uct-0100","100","1","31","0.553571","2","1","S66","supply","","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","31","0.553571","3","1","S00","supply","","LL"
"7x7-p84","7x7-p84-uct-0100","100","1","32","0.571429","1","2","S72","supply","","HL"
"7x7-p84","7x7-p84-uct-0100","100","1","32","0.571429","2","2","S37","supply","","MH"
"7x7-p84","7x7-p84-uct-0100","100","1","32","0.571429","3","2","O01","objective","S12","LL"
"7x7-p84","7x7-p84-uct-0100","100","1","33","0.589286","1","1","S15","supply","","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","33","0.589286","2","1","O40","objective","S51","ML"
"7x7-p84","7x7-p84-uct-0100","100","1","33","0.589286","3","1","O44","objective","S54","MM"
"7x7-p84","7x7-p84-uct-0100","100","1","34","0.607143","1","2","S65","supply","","HH"
"7x7-p84","7x7-p84-uct-0100","100","1","34","0.607143","2","2","S73","supply","","HM"
"7x7-p84","7x7-p84-uct-0100","100","1","34","0.607143","3","2","O42","objective","S42","MM"
"7x7-p84","7x7-p84-uct-0100","100","1","35","0.625000","1","1","S13","supply","","LM"
"7x7-p84","7x7-p84-uct-0100","100","1","35","0.625000","2","1","S71","supply","","HL"
"7x7-p84","7x7-p84-uct-0100","100","1","35","0.625000","3","1","S53","supply","","HM"
"7x7-p84","7x7-p84-uct-0100","100","1","36","0.642857","1","2","S53","supply","","HM"
"7x7-p84","7x7-p84-uct-0100","100","1","36","0.642857","2","2","O02","objective","S03","LM"
"7x7-p84","7x7-p84-uct-0100","100","1","36","0.642857","3","2","S05","supply","","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","37","0.660714","1","1","S33","supply","","MM"
"7x7-p84","7x7-p84-uct-0100","100","1","37","0.660714","2","1","O54","objective","S54","HM"
"7x7-p84","7x7-p84-uct-0100","100","1","37","0.660714","3","1","S13","supply","","LM"
"7x7-p84","7x7-p84-uct-0100","100","1","38","0.678571","1","2","S05","supply","","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","38","0.678571","2","2","S02","supply","","LL"
"7x7-p84","7x7-p84-uct-0100","100","1","38","0.678571","3","2","S07","supply","","LH"
"7x7-p84","7x7-p84-uct-0100","100","1","39","0.696429","1","1","S64","supply","","HM"
"7x7-p84","7x7-p84-uct-0100","100","1","39","0.696429","2","1","O04","objective","S04","LM"
