"board","experiment_id","search_level","game_index","window_turns","mean_active_regions","multi_active_turn_rate","longest_multi_active_run","longest_multi_active_run_fraction","mean_both_invested_regions","multi_both_invested_turn_rate","mixed_leadership_turn_rate","mean_opportunity_adjusted_activity","focus_switch_rate","focus_eligible_fraction","no_dominant_turn_rate"
"7x7-p84","7x7-p84-seeded-random","seeded-random","98","2","4.017857142857143","0.8928571428571429","50","0.8928571428571429","0.8214285714285714","0.125","0.8571428571428571","4.002025568228184","1","0.07272727272727272","0.75"
"7x7-p84","7x7-p84-seeded-random","seeded-random","99","2","3.982142857142857","0.9464285714285714","53","0.9464285714285714","0.8214285714285714","0.19642857142857142","0.8571428571428571","4.043823303018449","1","0.05454545454545454","0.6964285714285714"
"7x7-p84","7x7-p84-seeded-random","seeded-random","100","2","4.428571428571429","0.9642857142857143","54","0.9642857142857143","0.7321428571428571","0.10714285714285714","0.8392857142857143","4.408159448866753","1","0.01818181818181818","0.8392857142857143"
"7x7-p84","7x7-p84-uct-0100","uct-0100","1","2","4.053571428571429","0.9464285714285714","52","0.9285714285714286","0.75","0.14285714285714285","0.8928571428571429","4.149755503619966","1","0.01818181818181818","0.7678571428571429"
"7x7-p84","7x7-p84-uct-0100","uct-0100","2","2","4.107142857142857","0.9464285714285714","53","0.9464285714285714","0.5714285714285714","0.017857142857142856","0.875","4.132440228886139","1","0.09090909090909091","0.6428571428571429"
"7x7-p84","7x7-p84-uct-0100","uct-0100","3","2","3.9464285714285716","0.9285714285714286","51","0.9107142857142857","0.875","0.16071428571428573","0.875","3.979285168590309","1","0.07272727272727272","0.6785714285714286"
"7x7-p84","7x7-p84-uct-0100","uct-0100","4","2","4.035714285714286","0.9107142857142857","50","0.8928571428571429","0.8571428571428571","0.125","0.9107142857142857","4.002748666898039","0.5","0.03636363636363636","0.7321428571428571"
"7x7-p84","7x7-p84-uct-0100","uct-0100","5","2","3.75","0.9642857142857143","52","0.9285714285714286","0.875","0.17857142857142858","0.875","3.8007428197469704","1","0.01818181818181818","0.75"
"7x7-p84","7x7-p84-uct-0100","uct-0100","6","2","4.357142857142857","0.9464285714285714","51","0.9107142857142857","0.875","0.14285714285714285","0.9464285714285714","4.402266175084324","0","0.01818181818181818","0.8928571428571429"
"7x7-p84","7x7-p84-uct-0100","uct-0100","7","2","4.232142857142857","0.9464285714285714","53","0.9464285714285714","0.6964285714285714","0.08928571428571429","0.8928571428571429","4.276347464293404","0.6666666666666666","0.10909090909090909","0.6964285714285714"
"7x7-p84","7x7-p84-uct-0100","uct-0100","8","2","3.6785714285714284","0.9464285714285714","53","0.9464285714285714","0.8214285714285714","0.17857142857142858","0.8571428571428571","3.603812723562017","0.42857142857142855","0.12727272727272726","0.625"
