"board","experiment_id","search_level","game_index","threshold","region","cycle_index","departure_turn","departure_progress","qualification_turn","endpoint_turn","outcome","revisit_turn","revisit_lag","normalized_revisit_lag","right_censored"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","HH","1","11","0.22916666666666666","13","14","persistent_revisit","14","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","HH","2","15","0.3125","17","19","reactivation_revisit","19","4","0.08333333333333333","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","HH","3","26","0.5416666666666666","28","33","reactivation_revisit","33","7","0.14583333333333334","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","HH","4","34","0.7083333333333334","36","37","persistent_revisit","37","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","1","3","HH","5","40","0.8333333333333334","42","45","reactivation_revisit","45","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LL","1","19","0.3958333333333333","20","22","persistent_revisit","22","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LL","2","23","0.4791666666666667","24","26","persistent_revisit","26","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LL","3","27","0.5625","28","29","persistent_revisit","29","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LL","4","31","0.6458333333333334","32","33","persistent_revisit","33","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LL","5","36","0.75","37","39","persistent_revisit","39","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LL","6","44","0.9166666666666666","45","48","right_censored","","","","true"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LM","1","17","0.3541666666666667","18","22","reactivation_revisit","22","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LM","2","23","0.4791666666666667","24","25","persistent_revisit","25","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LM","3","27","0.5625","28","29","persistent_revisit","29","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LM","4","35","0.7291666666666666","36","37","persistent_revisit","37","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LM","5","38","0.7916666666666666","39","40","persistent_revisit","40","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LM","6","41","0.8541666666666666","42","43","persistent_revisit","43","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LH","1","13","0.2708333333333333","14","19","reactivation_revisit","19","6","0.125","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LH","2","24","0.5","25","28","reactivation_revisit","28","4","0.08333333333333333","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LH","3","33","0.6875","34","35","persistent_revisit","35","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LH","4","36","0.75","37","39","persistent_revisit","39","3","0.0625","false"
