"board","experiment_id","search_level","game_index","checkpoint","turn_number","supply_share","secured_supply","secured_objectives","recent_normalized_entropy","recent_largest_region_share","recent_hhi","recent_region_coverage"
"7x7-p72","7x7-seeded-random","seeded-random","20","0.75","36","0.7037037037037037","3","1","0.8481973151785929","0.25","0.16666666666666666","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","20","0.9","44","0.696969696969697","5","2","0.7103099178571525","0.3333333333333333","0.25","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","21","0.25","12","0.8055555555555556","0","0","0.8154648767857289","0.3333333333333333","0.19444444444444448","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","21","0.5","24","0.6944444444444444","2","0","0.8481973151785931","0.25","0.16666666666666666","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","21","0.75","36","0.6296296296296297","5","2","0.6904648767857285","0.3333333333333333","0.23611111111111113","0.5555555555555556"
"7x7-p72","7x7-seeded-random","seeded-random","21","0.9","44","0.5984848484848485","7","3","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7-p72","7x7-seeded-random","seeded-random","22","0.25","12","0.7777777777777778","0","0","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7-p72","7x7-seeded-random","seeded-random","22","0.5","24","0.75","1","0","0.9206198357143047","0.16666666666666666","0.13888888888888887","0.8888888888888888"
"7x7-p72","7x7-seeded-random","seeded-random","22","0.75","36","0.6666666666666666","3","3","0.7559297535714574","0.25","0.20833333333333334","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","22","0.9","44","0.6515151515151515","5","3","0.7757747946428812","0.25","0.19444444444444448","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","23","0.25","12","0.8055555555555556","0","0","0.7205719778266463","0.4166666666666667","0.25000000000000006","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","23","0.5","24","0.7361111111111112","0","0","0.8680423562500167","0.16666666666666666","0.15277777777777776","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","23","0.75","36","0.6666666666666666","0","0","0.9007747946428813","0.25","0.1527777777777778","0.8888888888888888"
"7x7-p72","7x7-seeded-random","seeded-random","23","0.9","44","0.6212121212121212","1","1","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
"7x7-p72","7x7-seeded-random","seeded-random","24","0.25","12","0.8055555555555556","0","0","0.7757747946428812","0.25","0.19444444444444445","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","24","0.5","24","0.7638888888888888","1","1","0.8680423562500167","0.16666666666666666","0.15277777777777776","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","24","0.75","36","0.6944444444444444","3","2","0.9007747946428811","0.25","0.1527777777777778","0.8888888888888888"
"7x7-p72","7x7-seeded-random","seeded-random","24","0.9","44","0.6893939393939394","5","3","0.8680423562500167","0.16666666666666666","0.15277777777777776","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","25","0.25","12","0.8055555555555556","1","0","0.8481973151785929","0.25","0.16666666666666666","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","25","0.5","24","0.6666666666666666","2","0","0.7956198357143048","0.25","0.18055555555555555","0.6666666666666666"
"7x7-p72","7x7-seeded-random","seeded-random","25","0.75","36","0.6388888888888888","2","4","0.8481973151785931","0.25","0.16666666666666669","0.7777777777777778"
"7x7-p72","7x7-seeded-random","seeded-random","25","0.9","44","0.6363636363636364","3","4","0.920619835714305","0.16666666666666666","0.1388888888888889","0.8888888888888888"
