"board","experiment_id","search_level","game_index","late_objective_placements","late_objective_placements_per_total","target_state_changed_rate","local_lead_changed_rate","contributes_to_securing_rate","global_comparison_changed_rate","global_outcome_still_mutable_rate","region_outcome_fixed_before_rate"
"7x7-p72","7x7-uct-0500","uct-0500","2","26","0.18055555555555555","1","0.038461538461538464","0.46153846153846156","0.2692307692307692","1","0.15384615384615385"
"7x7-p72","7x7-uct-0500","uct-0500","3","28","0.19444444444444445","0.9642857142857143","0.07142857142857142","0.5714285714285714","0.25","1","0.17857142857142858"
"7x7-p72","7x7-uct-0500","uct-0500","4","25","0.1736111111111111","1","0.08","0.28","0.28","0.96","0.16"
"7x7-p72","7x7-uct-0500","uct-0500","5","24","0.16666666666666666","0.875","0.125","0.2916666666666667","0.16666666666666666","1","0.20833333333333334"
"7x7-p72","7x7-uct-0500","uct-0500","6","16","0.1111111111111111","0.875","0.0625","0.5625","0.125","0.9375","0.25"
"7x7-p72","7x7-uct-0500","uct-0500","7","24","0.16666666666666666","0.9583333333333334","0.041666666666666664","0.25","0.041666666666666664","1","0.20833333333333334"
"7x7-p72","7x7-uct-0500","uct-0500","8","23","0.1597222222222222","0.8695652173913043","0.08695652173913043","0.5217391304347826","0.13043478260869565","1","0.17391304347826086"
"7x7-p72","7x7-uct-0500","uct-0500","9","31","0.2152777777777778","0.967741935483871","0.1935483870967742","0.3870967741935484","0.25806451612903225","1","0.0967741935483871"
"7x7-p72","7x7-uct-0500","uct-0500","10","21","0.14583333333333334","0.7619047619047619","0","0.38095238095238093","0.14285714285714285","0.9523809523809523","0.19047619047619047"
"7x7-p72","7x7-uct-0500","uct-0500","11","28","0.19444444444444445","0.9642857142857143","0.21428571428571427","0.5","0.2857142857142857","1","0.17857142857142858"
"7x7-p72","7x7-uct-0500","uct-0500","12","23","0.1597222222222222","0.8260869565217391","0.043478260869565216","0.5217391304347826","0.21739130434782608","1","0.21739130434782608"
"7x7-p72","7x7-uct-0500","uct-0500","13","19","0.13194444444444445","0.8421052631578947","0","0.5789473684210527","0.10526315789473684","1","0.2631578947368421"
"7x7-p72","7x7-uct-0500","uct-0500","14","26","0.18055555555555555","0.8846153846153846","0.038461538461538464","0.6153846153846154","0.19230769230769232","1","0.11538461538461539"
