"board","experiment_id","search_level","game_index","focus_switches","unresolved_carryover_switches","unresolved_carryover_rate","mean_carryover_duration","carryover_later_revisited","carryover_later_revisit_rate"
"7x7-p72","7x7-uct-0500","uct-0500","26","6","5","0.8333333333333334","6.6","5","1"
"7x7-p72","7x7-uct-0500","uct-0500","27","7","7","1","7.571428571428571","5","0.7142857142857143"
"7x7-p72","7x7-uct-0500","uct-0500","28","9","9","1","7.444444444444445","8","0.8888888888888888"
"7x7-p72","7x7-uct-0500","uct-0500","29","6","6","1","5.666666666666667","5","0.8333333333333334"
"7x7-p72","7x7-uct-0500","uct-0500","30","5","3","0.6","5","3","1"
"7x7-p72","7x7-uct-0500","uct-0500","31","4","2","0.5","3","2","1"
"7x7-p72","7x7-uct-0500","uct-0500","32","4","4","1","2.25","2","0.5"
"7x7-p72","7x7-uct-0500","uct-0500","33","1","1","1","1","0","0"
"7x7-p72","7x7-uct-0500","uct-0500","34","9","8","0.8888888888888888","5.25","5","0.625"
"7x7-p72","7x7-uct-0500","uct-0500","35","6","5","0.8333333333333334","4.6","4","0.8"
"7x7-p72","7x7-uct-0500","uct-0500","36","3","3","1","5.333333333333333","3","1"
"7x7-p72","7x7-uct-0500","uct-0500","37","5","4","0.8","12.75","4","1"
"7x7-p72","7x7-uct-0500","uct-0500","38","1","1","1","17","1","1"
"7x7-p72","7x7-uct-0500","uct-0500","39","9","7","0.7777777777777778","13","7","1"
"7x7-p72","7x7-uct-0500","uct-0500","40","3","3","1","6.333333333333333","2","0.6666666666666666"
"7x7-p72","7x7-uct-0500","uct-0500","41","2","1","0.5","34","1","1"
"7x7-p72","7x7-uct-0500","uct-0500","42","7","6","0.8571428571428571","8","6","1"
"7x7-p72","7x7-uct-0500","uct-0500","43","7","7","1","8.142857142857142","5","0.7142857142857143"
"7x7-p72","7x7-uct-0500","uct-0500","44","5","5","1","11.4","5","1"
"7x7-p72","7x7-uct-0500","uct-0500","45","5","5","1","6.8","5","1"
"7x7-p72","7x7-uct-0500","uct-0500","46","4","4","1","7.5","4","1"
"7x7-p72","7x7-uct-0500","uct-0500","47","6","4","0.6666666666666666","6.75","4","1"
"7x7-p72","7x7-uct-0500","uct-0500","48","2","1","0.5","2","1","1"
"7x7-p72","7x7-uct-0500","uct-0500","49","2","2","1","2.5","1","0.5"
"7x7-p72","7x7-uct-0500","uct-0500","50","7","3","0.42857142857142855","7.333333333333333","3","1"
"7x7-p72","7x7-uct-1000","uct-1000","1","8","8","1","5.875","7","0.875"
"7x7-p72","7x7-uct-1000","uct-1000","2","4","4","1","16.5","3","0.75"
"7x7-p72","7x7-uct-1000","uct-1000","3","7","7","1","12.571428571428571","7","1"
"7x7-p72","7x7-uct-1000","uct-1000","4","7","7","1","7.571428571428571","6","0.8571428571428571"
"7x7-p72","7x7-uct-1000","uct-1000","5","3","2","0.6666666666666666","6","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","6","8","8","1","5.75","7","0.875"
"7x7-p72","7x7-uct-1000","uct-1000","7","2","2","1","10.5","1","0.5"
"7x7-p72","7x7-uct-1000","uct-1000","8","12","9","0.75","10.666666666666666","7","0.7777777777777778"
"7x7-p72","7x7-uct-1000","uct-1000","9","7","7","1","6.571428571428571","7","1"
"7x7-p72","7x7-uct-1000","uct-1000","10","5","5","1","14.2","4","0.8"
"7x7-p72","7x7-uct-1000","uct-1000","11","6","6","1","6.166666666666667","6","1"
"7x7-p72","7x7-uct-1000","uct-1000","12","7","6","0.8571428571428571","9.833333333333334","6","1"
"7x7-p72","7x7-uct-1000","uct-1000","13","8","6","0.75","10.666666666666666","5","0.8333333333333334"
"7x7-p72","7x7-uct-1000","uct-1000","14","8","8","1","4.625","6","0.75"
"7x7-p72","7x7-uct-1000","uct-1000","15","10","8","0.8","7.25","7","0.875"
"7x7-p72","7x7-uct-1000","uct-1000","16","4","2","0.5","7.5","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","17","5","3","0.6","11.666666666666666","2","0.6666666666666666"
"7x7-p72","7x7-uct-1000","uct-1000","18","5","2","0.4","9.5","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","19","11","10","0.9090909090909091","9.1","8","0.8"
"7x7-p72","7x7-uct-1000","uct-1000","20","2","2","1","6","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","21","5","5","1","5.8","4","0.8"
"7x7-p72","7x7-uct-1000","uct-1000","22","1","1","1","3","1","1"
"7x7-p72","7x7-uct-1000","uct-1000","23","10","9","0.9","9.333333333333334","8","0.8888888888888888"
"7x7-p72","7x7-uct-1000","uct-1000","24","0","0","","","0",""
"7x7-p72","7x7-uct-1000","uct-1000","25","8","8","1","11.25","7","0.875"
"7x7-p72","7x7-uct-1000","uct-1000","26","11","10","0.9090909090909091","8.7","10","1"
"7x7-p72","7x7-uct-1000","uct-1000","27","4","4","1","8.5","4","1"
"7x7-p72","7x7-uct-1000","uct-1000","28","7","7","1","7.428571428571429","7","1"
"7x7-p72","7x7-uct-1000","uct-1000","29","8","5","0.625","4","5","1"
