"contrast_id","minuend_budget","subtrahend_budget","domain","scope","metric","games_minuend","games_subtrahend","mean_minuend","mean_subtrahend","difference_minuend_minus_subtrahend","ci_low","ci_high"
"84-minus-72","84","72","concurrent","window-4","multi_both_invested_turn_rate","50","50","0.656071","0.625000","0.031071","-0.012976","0.073393"
"84-minus-72","84","72","concurrent","window-4","mixed_leadership_turn_rate","50","50","0.908571","0.893333","0.015238","0.002560","0.027857"
"84-minus-72","84","72","concurrent","window-4","mean_opportunity_adjusted_activity","50","50","5.227469","5.122987","0.104481","-0.094563","0.292424"
"96-minus-72","96","72","concurrent","window-4","mean_active_regions","50","50","5.458750","5.066250","0.392500","0.226458","0.564167"
"96-minus-72","96","72","concurrent","window-4","multi_active_turn_rate","50","50","0.954688","0.932500","0.022188","0.011354","0.033646"
"96-minus-72","96","72","concurrent","window-4","longest_multi_active_run","50","50","61.100000","44.540000","16.560000","15.900000","17.260000"
"96-minus-72","96","72","concurrent","window-4","longest_multi_active_run_fraction","50","50","0.954688","0.927917","0.026771","0.013750","0.039792"
"96-minus-72","96","72","concurrent","window-4","mean_both_invested_regions","50","50","1.876250","1.813333","0.062917","-0.025417","0.147188"
"96-minus-72","96","72","concurrent","window-4","multi_both_invested_turn_rate","50","50","0.640000","0.625000","0.015000","-0.023229","0.054479"
"96-minus-72","96","72","concurrent","window-4","mixed_leadership_turn_rate","50","50","0.916250","0.893333","0.022917","0.009583","0.036146"
"96-minus-72","96","72","concurrent","window-4","mean_opportunity_adjusted_activity","50","50","5.532153","5.122987","0.409166","0.222583","0.586851"
"96-minus-84","96","84","concurrent","window-4","mean_active_regions","50","50","5.458750","5.165714","0.293036","0.111830","0.472813"
"96-minus-84","96","84","concurrent","window-4","multi_active_turn_rate","50","50","0.954688","0.935357","0.019330","0.007946","0.031071"
"96-minus-84","96","84","concurrent","window-4","longest_multi_active_run","50","50","61.100000","52.220000","8.880000","8.120000","9.620000"
"96-minus-84","96","84","concurrent","window-4","longest_multi_active_run_fraction","50","50","0.954688","0.932500","0.022187","0.009509","0.035759"
"96-minus-84","96","84","concurrent","window-4","mean_both_invested_regions","50","50","1.876250","1.909643","-0.033393","-0.133616","0.064509"
"96-minus-84","96","84","concurrent","window-4","multi_both_invested_turn_rate","50","50","0.640000","0.656071","-0.016071","-0.057679","0.024107"
"96-minus-84","96","84","concurrent","window-4","mixed_leadership_turn_rate","50","50","0.916250","0.908571","0.007679","-0.003973","0.018929"
"96-minus-84","96","84","concurrent","window-4","mean_opportunity_adjusted_activity","50","50","5.532153","5.227469","0.304684","0.139166","0.469974"
"84-minus-72","84","72","dormant-revisit","k-2","mean_dormant_active_fronts","50","50","1.528571","1.491667","0.036905","-0.036131","0.112976"
"84-minus-72","84","72","dormant-revisit","k-2","dormant_ge2_turn_rate","50","50","0.508214","0.485417","0.022798","-0.012560","0.054940"
"84-minus-72","84","72","dormant-revisit","k-2","mean_backlog_size","50","50","3.003214","2.948333","0.054881","-0.070833","0.181071"
"84-minus-72","84","72","dormant-revisit","k-2","backlog_ge2_turn_rate","50","50","0.856786","0.840833","0.015952","-0.005714","0.037262"
"84-minus-72","84","72","dormant-revisit","k-2","qualifying_departures","50","50","49.720000","41.520000","8.200000","6.040000","10.360000"
"84-minus-72","84","72","dormant-revisit","k-2","revisit_rate_observed","50","50","0.991864","0.991124","0.000740","-0.005282","0.006792"
"84-minus-72","84","72","dormant-revisit","k-2","right_censored_rate","50","50","0.084546","0.108293","-0.023746","-0.032005","-0.015053"
"84-minus-72","84","72","dormant-revisit","k-2","mean_revisit_lag","50","50","4.541833","4.561453","-0.019620","-0.201432","0.167820"
"84-minus-72","84","72","dormant-revisit","k-2","mean_normalized_revisit_lag","50","50","0.081104","0.095030","-0.013926","-0.017691","-0.010183"
"84-minus-72","84","72","dormant-revisit","k-2","revisit_within_four_turns_rate","50","50","0.603750","0.598725","0.005025","-0.024480","0.034940"
"96-minus-72","96","72","dormant-revisit","k-2","mean_dormant_active_fronts","50","50","1.665938","1.491667","0.174271","0.102812","0.251146"
"96-minus-72","96","72","dormant-revisit","k-2","dormant_ge2_turn_rate","50","50","0.565625","0.485417","0.080208","0.045833","0.112604"
"96-minus-72","96","72","dormant-revisit","k-2","mean_backlog_size","50","50","3.232500","2.948333","0.284167","0.171458","0.402188"
"96-minus-72","96","72","dormant-revisit","k-2","backlog_ge2_turn_rate","50","50","0.892500","0.840833","0.051667","0.034896","0.068958"
"96-minus-72","96","72","dormant-revisit","k-2","qualifying_departures","50","50","62.380000","41.520000","20.860000","18.480000","23.280000"
"96-minus-72","96","72","dormant-revisit","k-2","revisit_rate_observed","50","50","0.993893","0.991124","0.002769","-0.002815","0.008471"
"96-minus-72","96","72","dormant-revisit","k-2","right_censored_rate","50","50","0.075019","0.108293","-0.033274","-0.040750","-0.025252"
"96-minus-72","96","72","dormant-revisit","k-2","mean_revisit_lag","50","50","4.512893","4.561453","-0.048560","-0.241770","0.140165"
"96-minus-72","96","72","dormant-revisit","k-2","mean_normalized_revisit_lag","50","50","0.070514","0.095030","-0.024516","-0.027805","-0.021057"
"96-minus-72","96","72","dormant-revisit","k-2","revisit_within_four_turns_rate","50","50","0.613854","0.598725","0.015129","-0.016872","0.046011"
"96-minus-84","96","84","dormant-revisit","k-2","mean_dormant_active_fronts","50","50","1.665938","1.528571","0.137366","0.069509","0.206339"
"96-minus-84","96","84","dormant-revisit","k-2","dormant_ge2_turn_rate","50","50","0.565625","0.508214","0.057411","0.027143","0.087679"
"96-minus-84","96","84","dormant-revisit","k-2","mean_backlog_size","50","50","3.232500","3.003214","0.229286","0.117411","0.352455"
"96-minus-84","96","84","dormant-revisit","k-2","backlog_ge2_turn_rate","50","50","0.892500","0.856786","0.035714","0.016518","0.056071"
"96-minus-84","96","84","dormant-revisit","k-2","qualifying_departures","50","50","62.380000","49.720000","12.660000","10.040000","15.000000"
"96-minus-84","96","84","dormant-revisit","k-2","revisit_rate_observed","50","50","0.993893","0.991864","0.002029","-0.003014","0.007528"
"96-minus-84","96","84","dormant-revisit","k-2","right_censored_rate","50","50","0.075019","0.084546","-0.009528","-0.016557","-0.002151"
"96-minus-84","96","84","dormant-revisit","k-2","mean_revisit_lag","50","50","4.512893","4.541833","-0.028940","-0.201740","0.142737"
"96-minus-84","96","84","dormant-revisit","k-2","mean_normalized_revisit_lag","50","50","0.070514","0.081104","-0.010590","-0.013623","-0.007705"
"96-minus-84","96","84","dormant-revisit","k-2","revisit_within_four_turns_rate","50","50","0.613854","0.603750","0.010104","-0.015757","0.037350"
"84-minus-72","84","72","focus-carryover","whole-game","unresolved_carryover_rate","50","50","0.856290","0.795356","0.060934","-0.019832","0.160902"
"84-minus-72","84","72","focus-carryover","whole-game","mean_carryover_duration","50","50","8.718829","7.649302","1.069527","-0.345944","2.529548"
"84-minus-72","84","72","focus-carryover","whole-game","carryover_later_revisit_rate","50","50","0.899364","0.812032","0.087333","0.008848","0.178348"
"96-minus-72","96","72","focus-carryover","whole-game","unresolved_carryover_rate","50","50","0.911374","0.795356","0.116018","0.033746","0.206836"
"96-minus-72","96","72","focus-carryover","whole-game","mean_carryover_duration","50","50","7.783233","7.649302","0.133931","-1.190284","1.495509"
"96-minus-72","96","72","focus-carryover","whole-game","carryover_later_revisit_rate","50","50","0.889527","0.812032","0.077495","0.002390","0.163761"
"96-minus-84","96","84","focus-carryover","whole-game","unresolved_carryover_rate","50","50","0.911374","0.856290","0.055084","0.006121","0.108961"
"96-minus-84","96","84","focus-carryover","whole-game","mean_carryover_duration","50","50","7.783233","8.718829","-0.935596","-2.131065","0.298654"
"96-minus-84","96","84","focus-carryover","whole-game","carryover_later_revisit_rate","50","50","0.889527","0.899364","-0.009838","-0.053468","0.037950"
"84-minus-72","84","72","late-game","band-4","mean_active_fronts","50","50","5.891429","5.966667","-0.075238","-0.296190","0.153333"
"84-minus-72","84","72","late-game","band-4","mean_dormant_fronts","50","50","1.814286","1.848333","-0.034048","-0.155952","0.097143"
"84-minus-72","84","72","late-game","band-4","mean_backlog","50","50","3.504286","3.565000","-0.060714","-0.235000","0.126905"
"84-minus-72","84","72","late-game","band-4","multi_active_turn_rate","50","50","1.000000","1.000000","0.000000","0.000000","0.000000"
"84-minus-72","84","72","late-game","band-4","multi_unattended_turn_rate","50","50","0.977143","0.975000","0.002143","-0.018095","0.024524"
"84-minus-72","84","72","late-game","band-4","placement_entropy","50","50","0.923067","0.917100","0.005967","-0.008461","0.020473"
"84-minus-72","84","72","late-game","band-4","opportunity_entropy","50","50","0.992611","0.994001","-0.001390","-0.002552","-0.000260"
"84-minus-72","84","72","late-game","band-4","entropy_gap","50","50","-0.069544","-0.076901","0.007357","-0.006831","0.022690"
"84-minus-72","84","72","late-game","band-4","placement_hhi","50","50","0.147029","0.151327","-0.004298","-0.011757","0.002823"
"84-minus-72","84","72","late-game","band-4","opportunity_hhi","50","50","0.114603","0.113973","0.000629","0.000150","0.001150"
"84-minus-72","84","72","late-game","band-4","hhi_gap","50","50","0.032427","0.037354","-0.004927","-0.012197","0.002399"
"84-minus-72","84","72","late-game","band-4","largest_share_gap","50","50","0.089843","0.096119","-0.006276","-0.021891","0.010090"
"96-minus-72","96","72","late-game","band-4","mean_active_fronts","50","50","5.930000","5.966667","-0.036667","-0.282083","0.207917"
"96-minus-72","96","72","late-game","band-4","mean_dormant_fronts","50","50","1.848750","1.848333","0.000417","-0.126667","0.141667"
"96-minus-72","96","72","late-game","band-4","mean_backlog","50","50","3.575000","3.565000","0.010000","-0.171250","0.191667"
