"board","experiment_id","search_level","game_index","turn_number","progress","mover","allocation_pattern","regions_used","supply_placements","objective_placements"
"7x7-p72","7x7-uct-1000","uct-1000","33","13","0.270833","1","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","33","14","0.291667","2","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","15","0.312500","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","16","0.333333","2","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","17","0.354167","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","18","0.375000","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","19","0.395833","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","33","20","0.416667","2","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","33","21","0.437500","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","33","22","0.458333","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","23","0.479167","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","33","24","0.500000","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","33","25","0.520833","1","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","33","26","0.541667","2","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","27","0.562500","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","28","0.583333","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","29","0.604167","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","33","30","0.625000","2","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","33","31","0.645833","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","32","0.666667","2","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","33","0.687500","1","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","33","34","0.708333","2","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","33","35","0.729167","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","33","36","0.750000","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","37","0.770833","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","38","0.791667","2","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","39","0.812500","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","40","0.833333","2","3","1","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","41","0.854167","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","42","0.875000","2","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","33","43","0.895833","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","44","0.916667","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","45","0.937500","1","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","33","46","0.958333","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","47","0.979167","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","33","48","1.000000","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","34","1","0.020833","1","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","34","2","0.041667","2","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","34","3","0.062500","1","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","34","4","0.083333","2","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","34","5","0.104167","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","34","6","0.125000","2","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","34","7","0.145833","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","8","0.166667","2","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","34","9","0.187500","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","10","0.208333","2","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","34","11","0.229167","1","3","1","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","12","0.250000","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","13","0.270833","1","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","34","14","0.291667","2","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","34","15","0.312500","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","16","0.333333","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","17","0.354167","1","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","34","18","0.375000","2","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","19","0.395833","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","34","20","0.416667","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","34","21","0.437500","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","34","22","0.458333","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","34","23","0.479167","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","24","0.500000","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","25","0.520833","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","34","26","0.541667","2","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","34","27","0.562500","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","28","0.583333","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","34","29","0.604167","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","30","0.625000","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","31","0.645833","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","32","0.666667","2","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","33","0.687500","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","34","0.708333","2","2+1","2","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","34","35","0.729167","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","34","36","0.750000","2","2+1","2","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","34","37","0.770833","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","34","38","0.791667","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","39","0.812500","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","34","40","0.833333","2","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","34","41","0.854167","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","42","0.875000","2","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","43","0.895833","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","44","0.916667","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","34","45","0.937500","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","34","46","0.958333","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","34","47","0.979167","1","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","34","48","1.000000","2","2+1","2","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","35","1","0.020833","1","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","35","2","0.041667","2","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","35","3","0.062500","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","35","4","0.083333","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","35","5","0.104167","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","35","6","0.125000","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","35","7","0.145833","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","35","8","0.166667","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","35","9","0.187500","1","2+1","2","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","35","10","0.208333","2","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","35","11","0.229167","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","35","12","0.250000","2","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","35","13","0.270833","1","1+1+1","3","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","35","14","0.291667","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","35","15","0.312500","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","35","16","0.333333","2","1+1+1","3","3","0"
"7x7-p72","7x7-uct-1000","uct-1000","35","17","0.354167","1","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","35","18","0.375000","2","1+1+1","3","1","2"
"7x7-p72","7x7-uct-1000","uct-1000","35","19","0.395833","1","1+1+1","3","0","3"
"7x7-p72","7x7-uct-1000","uct-1000","35","20","0.416667","2","2+1","2","1","2"
